Smile,Type,LUMO_ev
[N+]1(CCCCCC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.959000110626221
[N+]1(CCCC(C)C)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.916999816894531
[N+]1(CCC(C)CC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.86899995803833
[N+]1(CCC(C)(C)C)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.869999885559082
[N+]1(CC(C)CCC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.8470001220703125
[N+]1(CC(C)C(C)C)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.843999862670898
[N+]1(CC(CC)CC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.8520002365112305
[N+]1(CC(C)(C)CC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.827000141143799
[N+]1(C(C)CCCC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.822000026702881
[N+]1(C(C)CC(C)C)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.75600004196167
[N+]1(C(C)C(C)CC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.72599983215332
[N+]1(C(C)C(C)(C)C)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.7729997634887695
[N+]1(C(CC)CCC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.751999855041504
[N+]1(C(CC)C(C)C)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.742000102996826
[N+]1(C(C)(C)CCC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.705999851226807
[N+]1(C(C)(C)C(C)C)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.739999771118164
[N+]1(C(C)(CC)CC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-4.697000026702881
[N+]1(CCCC(C)C)=CN(CCCC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-4.925000190734863
[N+]1(CCC(C)CC)=CN(CCCC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-4.928999900817871
