Smile,Type,LUMO_ev
[N+]1(CCCCC)=CN(CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.992000102996826
[N+]1(CCC(C)C)=CN(CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.989999771118164
[N+]1(CC(C)CC)=CN(CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.958000183105469
[N+]1(CC(C)(C)C)=CN(CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.953999996185303
[N+]1(C(C)CCC)=CN(CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.886000156402588
[N+]1(C(C)C(C)C)=CN(CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.9120001792907715
[N+]1(C(CC)CC)=CN(CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.906000137329102
[N+]1(C(C)(C)CC)=CN(CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.808000087738037
