Smile,Type,LUMO_ev
[N+]1(C)=CN(CCCCCCCCCC)(C=C1),1-methyl-3-alkylimidazolium,-5.015999794006348
[N+]1(C)=CN(CCCCCCCC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.01800012588501
[N+]1(C)=CN(CCCCCCC(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-5.015999794006348
[N+]1(C)=CN(CCCCCCC(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.015999794006348
[N+]1(C)=CN(CCCCCC(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-5.011000156402588
[N+]1(C)=CN(CCCCCC(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.015999794006348
[N+]1(C)=CN(CCCCCC(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-5.01200008392334
[N+]1(C)=CN(CCCCCC(C)(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-5.015999794006348
[N+]1(C)=CN(CCCCC(C)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-5.008999824523926
[N+]1(C)=CN(CCCCC(C)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.01200008392334
[N+]1(C)=CN(CCCCC(C)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-5.007999897003174
[N+]1(C)=CN(CCCCC(C)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.025000095367432
[N+]1(C)=CN(CCCCC(CC)CCC)(C=C1),1-methyl-3-alkylimidazolium,-5.004000186920166
[N+]1(C)=CN(CCCCC(CC)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.014999866485596
[N+]1(C)=CN(CCCCC(C)(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-4.997000217437744
[N+]1(C)=CN(CCCCC(C)(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.00600004196167
[N+]1(C)=CN(CCCCC(C)(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-5.000999927520752
[N+]1(C)=CN(CCCC(C)CCCCC)(C=C1),1-methyl-3-alkylimidazolium,-5.015999794006348
[N+]1(C)=CN(CCCC(C)CCC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.013000011444092
[N+]1(C)=CN(CCCC(C)CC(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-5.019000053405762
[N+]1(C)=CN(CCCC(C)CC(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.002999782562256
[N+]1(C)=CN(CCCC(C)C(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-5.008999824523926
