Smile,Type,LUMO_ev
[N+]1(CCCCC)=CN(C)(C=C1),1-methyl-3-alkylimidazolium,-5.117000102996826
[N+]1(CCC(C)C)=CN(C)(C=C1),1-methyl-3-alkylimidazolium,-5.117000102996826
[N+]1(CC(C)CC)=CN(C)(C=C1),1-methyl-3-alkylimidazolium,-5.0879998207092285
[N+]1(CC(C)(C)C)=CN(C)(C=C1),1-methyl-3-alkylimidazolium,-5.0289998054504395
[N+]1(C(C)CCC)=CN(C)(C=C1),1-methyl-3-alkylimidazolium,-5.006999969482422
[N+]1(C(C)C(C)C)=CN(C)(C=C1),1-methyl-3-alkylimidazolium,-5.000999927520752
[N+]1(C(CC)CC)=CN(C)(C=C1),1-methyl-3-alkylimidazolium,-5.019000053405762
[N+]1(C(C)(C)CC)=CN(C)(C=C1),1-methyl-3-alkylimidazolium,-4.940000057220459
