Smile,Type,LUMO_ev
[N+]1(CCCCCC)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.90500020980835
[N+]1(CCCC(C)C)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.9120001792907715
[N+]1(CCC(C)CC)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.875
[N+]1(CCC(C)(C)C)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.880000114440918
[N+]1(CC(C)CCC)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.8520002365112305
[N+]1(CC(C)C(C)C)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.861000061035156
[N+]1(CC(CC)CC)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.861000061035156
[N+]1(CC(C)(C)CC)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.828999996185303
[N+]1(C(C)CCCC)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.808000087738037
[N+]1(C(C)CC(C)C)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.785999774932861
[N+]1(C(C)C(C)CC)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.7210001945495605
[N+]1(C(C)C(C)(C)C)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.761000156402588
[N+]1(C(CC)CCC)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.7729997634887695
[N+]1(C(CC)C(C)C)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.765999794006348
[N+]1(C(C)(C)CCC)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.7270002365112305
[N+]1(C(C)(C)C(C)C)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.7220001220703125
[N+]1(C(C)(CC)CC)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.71999979019165
[N+]1(CCCCCC)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.908999919891357
[N+]1(CCCC(C)C)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.895999908447266
[N+]1(CCC(C)CC)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.890999794006348
[N+]1(CCC(C)(C)C)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.868000030517578
[N+]1(CC(C)CCC)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.85099983215332
[N+]1(CC(C)C(C)C)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.854000091552734
[N+]1(CC(CC)CC)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.8379998207092285
[N+]1(CC(C)(C)CC)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.830999851226807
[N+]1(C(C)CCCC)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.794000148773193
[N+]1(C(C)CC(C)C)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.769999980926514
[N+]1(C(C)C(C)CC)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.711999893188477
[N+]1(C(C)C(C)(C)C)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.743000030517578
[N+]1(C(CC)CCC)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.764999866485596
[N+]1(C(CC)C(C)C)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.76200008392334
[N+]1(C(C)(C)CCC)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.688000202178955
[N+]1(C(C)(C)C(C)C)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.688000202178955
[N+]1(C(C)(CC)CC)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.686999797821045
[N+]1(CCCCCC)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.894000053405762
[N+]1(CCCC(C)C)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.877999782562256
[N+]1(CCC(C)CC)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.840000152587891
[N+]1(CCC(C)(C)C)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.8460001945495605
[N+]1(CC(C)CCC)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.829999923706055
[N+]1(CC(C)C(C)C)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.803999900817871
[N+]1(CC(CC)CC)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.815999984741211
[N+]1(CC(C)(C)CC)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.7779998779296875
[N+]1(C(C)CCCC)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.784999847412109
[N+]1(C(C)CC(C)C)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.744999885559082
[N+]1(C(C)C(C)CC)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.681000232696533
[N+]1(C(C)C(C)(C)C)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.708000183105469
[N+]1(C(CC)CCC)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.744999885559082
[N+]1(C(CC)C(C)C)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.728000164031982
[N+]1(C(C)(C)CCC)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.670000076293945
[N+]1(C(C)(C)C(C)C)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.638000011444092
[N+]1(C(C)(CC)CC)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.684000015258789
[N+]1(CCCCCC)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.873000144958496
[N+]1(CCCC(C)C)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.863999843597412
[N+]1(CCC(C)CC)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.859000205993652
[N+]1(CCC(C)(C)C)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.808000087738037
[N+]1(CC(C)CCC)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.839000225067139
[N+]1(CC(C)C(C)C)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.831999778747559
[N+]1(CC(CC)CC)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.809999942779541
[N+]1(CC(C)(C)CC)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.796999931335449
[N+]1(C(C)CCCC)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.752999782562256
[N+]1(C(C)CC(C)C)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.730999946594238
[N+]1(C(C)C(C)CC)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.692999839782715
[N+]1(C(C)C(C)(C)C)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.702000141143799
[N+]1(C(CC)CCC)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.715000152587891
[N+]1(C(CC)C(C)C)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.728000164031982
[N+]1(C(C)(C)CCC)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.6519999504089355
[N+]1(C(C)(C)C(C)C)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.646999835968018
[N+]1(C(C)(CC)CC)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.6479997634887695
[N+]1(CCCCCC)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.861999988555908
[N+]1(CCCC(C)C)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.879000186920166
[N+]1(CCC(C)CC)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.839000225067139
[N+]1(CCC(C)(C)C)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.8480000495910645
[N+]1(CC(C)CCC)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.835999965667725
[N+]1(CC(C)C(C)C)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.785999774932861
[N+]1(CC(CC)CC)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.808000087738037
[N+]1(CC(C)(C)CC)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.788000106811523
[N+]1(C(C)CCCC)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.75600004196167
[N+]1(C(C)CC(C)C)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.738999843597412
[N+]1(C(C)C(C)CC)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.668000221252441
[N+]1(C(C)C(C)(C)C)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.7129998207092285
[N+]1(C(CC)CCC)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.744999885559082
[N+]1(C(CC)C(C)C)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.7230000495910645
[N+]1(C(C)(C)CCC)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.688000202178955
[N+]1(C(C)(C)C(C)C)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.658999919891357
[N+]1(C(C)(CC)CC)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.678999900817871
[N+]1(CCCCCC)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.874000072479248
[N+]1(CCCC(C)C)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.868000030517578
[N+]1(CCC(C)CC)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.816999912261963
[N+]1(CCC(C)(C)C)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.841000080108643
[N+]1(CC(C)CCC)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.804999828338623
[N+]1(CC(C)C(C)C)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.7820000648498535
[N+]1(CC(CC)CC)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.7769999504089355
[N+]1(CC(C)(C)CC)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.75
[N+]1(C(C)CCCC)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.71999979019165
[N+]1(C(C)CC(C)C)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.703999996185303
[N+]1(C(C)C(C)CC)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.64900016784668
[N+]1(C(C)C(C)(C)C)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.659999847412109
[N+]1(C(CC)CCC)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.703000068664551
[N+]1(C(CC)C(C)C)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.702000141143799
[N+]1(C(C)(C)CCC)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.644000053405762
[N+]1(C(C)(C)C(C)C)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.625999927520752
[N+]1(C(C)(CC)CC)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.668000221252441
[N+]1(CCCCCC)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.861999988555908
[N+]1(CCCC(C)C)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.868000030517578
[N+]1(CCC(C)CC)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.804999828338623
[N+]1(CCC(C)(C)C)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.8470001220703125
[N+]1(CC(C)CCC)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.813000202178955
[N+]1(CC(C)C(C)C)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.785999774932861
[N+]1(CC(CC)CC)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.788000106811523
[N+]1(CC(C)(C)CC)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.758999824523926
[N+]1(C(C)CCCC)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.735000133514404
[N+]1(C(C)CC(C)C)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.736999988555908
[N+]1(C(C)C(C)CC)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.671999931335449
[N+]1(C(C)C(C)(C)C)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.728000164031982
[N+]1(C(CC)CCC)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.730999946594238
[N+]1(C(CC)C(C)C)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.697999954223633
[N+]1(C(C)(C)CCC)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.676000118255615
[N+]1(C(C)(C)C(C)C)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.663000106811523
