Smile,Type,LUMO_ev
[N+]1(CCC)=CN(CCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.934000015258789
[N+]1(C(C)C)=CN(CCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.859000205993652
[N+]1(CCC)=CN(CCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.921000003814697
[N+]1(C(C)C)=CN(CCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.860000133514404
[N+]1(CCC)=CN(CCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.895999908447266
[N+]1(C(C)C)=CN(CCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.820000171661377
[N+]1(CCC)=CN(CCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.925000190734863
[N+]1(C(C)C)=CN(CCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.822999954223633
[N+]1(CCC)=CN(CCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.8979997634887695
[N+]1(C(C)C)=CN(CCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.824999809265137
[N+]1(CCC)=CN(CCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.9079999923706055
[N+]1(C(C)C)=CN(CCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.836999893188477
[N+]1(CCC)=CN(CCCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.888000011444092
[N+]1(C(C)C)=CN(CCCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.831999778747559
[N+]1(CCC)=CN(CCCC(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.881999969482422
[N+]1(C(C)C)=CN(CCCC(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.811999797821045
[N+]1(CCC)=CN(CCC(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.888999938964844
[N+]1(C(C)C)=CN(CCC(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.809999942779541
[N+]1(CCC)=CN(CCC(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.910999774932861
[N+]1(C(C)C)=CN(CCC(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.810999870300293
[N+]1(CCC)=CN(CCC(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.889999866485596
[N+]1(C(C)C)=CN(CCC(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.790999889373779
[N+]1(CCC)=CN(CCC(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.880000114440918
[N+]1(C(C)C)=CN(CCC(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.798999786376953
[N+]1(CCC)=CN(CCC(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.888000011444092
[N+]1(C(C)C)=CN(CCC(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.808000087738037
[N+]1(CCC)=CN(CCC(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.879000186920166
[N+]1(C(C)C)=CN(CCC(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.804999828338623
[N+]1(CCC)=CN(CCC(C)(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.86299991607666
