Smile,Type,LUMO_ev
[N+]1(CCCC)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.959000110626221
[N+]1(CC(C)C)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.913000106811523
[N+]1(C(C)CC)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.866000175476074
[N+]1(C(C)(C)C)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.7729997634887695
[N+]1(CCCC)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.931000232696533
[N+]1(CC(C)C)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.925000190734863
[N+]1(C(C)CC)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.861999988555908
[N+]1(C(C)(C)C)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.756999969482422
[N+]1(CCCC)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.882999897003174
[N+]1(CC(C)C)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.874000072479248
[N+]1(C(C)CC)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.836999893188477
[N+]1(C(C)(C)C)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.744999885559082
[N+]1(CCCC)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.908999919891357
[N+]1(CC(C)C)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.888000011444092
[N+]1(C(C)CC)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.827000141143799
[N+]1(C(C)(C)C)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.710999965667725
[N+]1(CCCC)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.894000053405762
[N+]1(CC(C)C)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.88700008392334
[N+]1(C(C)CC)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.813000202178955
