Smile,Type,LUMO_ev
[N+]1(C)=CN(CCCCCCCCC)(C=C1),1-methyl-3-alkylimidazolium,-5.014999866485596
[N+]1(C)=CN(CCCCCCC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.021999835968018
[N+]1(C)=CN(CCCCCC(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-5.019999980926514
[N+]1(C)=CN(CCCCCC(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.0229997634887695
[N+]1(C)=CN(CCCCC(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-5.015999794006348
[N+]1(C)=CN(CCCCC(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.0269999504089355
[N+]1(C)=CN(CCCCC(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-5.021999835968018
[N+]1(C)=CN(CCCCC(C)(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-5.01200008392334
[N+]1(C)=CN(CCCC(C)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-5.017000198364258
[N+]1(C)=CN(CCCC(C)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.0269999504089355
[N+]1(C)=CN(CCCC(C)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-5.006999969482422
[N+]1(C)=CN(CCCC(C)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.013999938964844
[N+]1(C)=CN(CCCC(CC)CCC)(C=C1),1-methyl-3-alkylimidazolium,-5.015999794006348
[N+]1(C)=CN(CCCC(CC)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.00600004196167
[N+]1(C)=CN(CCCC(C)(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-5.007999897003174
[N+]1(C)=CN(CCCC(C)(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.01200008392334
[N+]1(C)=CN(CCCC(C)(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.997000217437744
[N+]1(C)=CN(CCC(C)CCCCC)(C=C1),1-methyl-3-alkylimidazolium,-5.0
[N+]1(C)=CN(CCC(C)CCC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.004000186920166
[N+]1(C)=CN(CCC(C)CC(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.97599983215332
[N+]1(C)=CN(CCC(C)CC(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.985000133514404
[N+]1(C)=CN(CCC(C)C(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-4.982999801635742
[N+]1(C)=CN(CCC(C)C(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.9730000495910645
[N+]1(C)=CN(CCC(C)C(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.989999771118164
[N+]1(C)=CN(CCC(C)C(C)(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.984000205993652
[N+]1(C)=CN(CCC(CC)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-4.988999843597412
[N+]1(C)=CN(CCC(CC)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.998000144958496
[N+]1(C)=CN(CCC(CC)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.968999862670898
[N+]1(C)=CN(CCC(CC)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.985000133514404
[N+]1(C)=CN(CCC(CCC)CCC)(C=C1),1-methyl-3-alkylimidazolium,-4.980000019073486
[N+]1(C)=CN(CCC(C(C)C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-4.973999977111816
[N+]1(C)=CN(CCC(C(C)C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.014999866485596
[N+]1(C)=CN(CCC(C)(C)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-4.979000091552734
[N+]1(C)=CN(CCC(C)(C)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.974999904632568
[N+]1(C)=CN(CCC(C)(C)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.9730000495910645
[N+]1(C)=CN(CCC(C)(C)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.9770002365112305
[N+]1(C)=CN(CCC(C)(CC)CCC)(C=C1),1-methyl-3-alkylimidazolium,-4.966000080108643
[N+]1(C)=CN(CCC(C)(CC)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.968999862670898
[N+]1(C)=CN(CCC(CC)(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.9670000076293945
[N+]1(C)=CN(CC(C)CCCCCC)(C=C1),1-methyl-3-alkylimidazolium,-5.01800012588501
[N+]1(C)=CN(CC(C)CCCC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.984000205993652
[N+]1(C)=CN(CC(C)CCC(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.96999979019165
[N+]1(C)=CN(CC(C)CCC(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.973999977111816
[N+]1(C)=CN(CC(C)CC(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-5.006999969482422
[N+]1(C)=CN(CC(C)CC(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.00600004196167
[N+]1(C)=CN(CC(C)CC(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.953000068664551
[N+]1(C)=CN(CC(C)CC(C)(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.96999979019165
[N+]1(C)=CN(CC(C)C(C)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-4.931000232696533
[N+]1(C)=CN(CC(C)C(C)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.941999912261963
[N+]1(C)=CN(CC(C)C(C)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.921999931335449
[N+]1(C)=CN(CC(C)C(C)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.942999839782715
[N+]1(C)=CN(CC(C)C(CC)CCC)(C=C1),1-methyl-3-alkylimidazolium,-4.932000160217285
[N+]1(C)=CN(CC(C)C(CC)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.914000034332275
[N+]1(C)=CN(CC(C)C(C)(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-4.938000202178955
[N+]1(C)=CN(CC(C)C(C)(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.923999786376953
[N+]1(C)=CN(CC(C)C(C)(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.974999904632568
