Smile,Type,LUMO_ev
[N+]1(CCCCC)=CN(CCC)(C=C1),1-alkyl-3-alkylimidazolium,-5.015999794006348
[N+]1(CCC(C)C)=CN(CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.9629998207092285
[N+]1(CC(C)CC)=CN(CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.940000057220459
[N+]1(CC(C)(C)C)=CN(CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.953999996185303
[N+]1(C(C)CCC)=CN(CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.90500020980835
[N+]1(C(C)C(C)C)=CN(CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.828999996185303
[N+]1(C(CC)CC)=CN(CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.855999946594238
[N+]1(C(C)(C)CC)=CN(CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.794000148773193
[N+]1(CCCCC)=CN(C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.88700008392334
[N+]1(CCC(C)C)=CN(C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.9029998779296875
[N+]1(CC(C)CC)=CN(C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.892000198364258
[N+]1(CC(C)(C)C)=CN(C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.830999851226807
[N+]1(C(C)CCC)=CN(C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.776000022888184
[N+]1(C(C)C(C)C)=CN(C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.7829999923706055
[N+]1(C(CC)CC)=CN(C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.798999786376953
[N+]1(C(C)(C)CC)=CN(C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.72599983215332
