Smile,Type,LUMO_ev
[N+]1(CCCCC)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.954999923706055
[N+]1(CCC(C)C)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.920000076293945
[N+]1(CC(C)CC)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.877999782562256
[N+]1(CC(C)(C)C)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.9039998054504395
[N+]1(C(C)CCC)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.863999843597412
[N+]1(C(C)C(C)C)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.810999870300293
[N+]1(C(CC)CC)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.839000225067139
[N+]1(C(C)(C)CC)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.771999835968018
[N+]1(CCCCC)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.942999839782715
[N+]1(CCC(C)C)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.939000129699707
[N+]1(CC(C)CC)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.888000011444092
[N+]1(CC(C)(C)C)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.881999969482422
[N+]1(C(C)CCC)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.840000152587891
[N+]1(C(C)C(C)C)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.823999881744385
[N+]1(C(CC)CC)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.828000068664551
[N+]1(C(C)(C)CC)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.74399995803833
[N+]1(CCCCC)=CN(CCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.888000011444092
[N+]1(CCC(C)C)=CN(CCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.888999938964844
[N+]1(CC(C)CC)=CN(CCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.867000102996826
[N+]1(CC(C)(C)C)=CN(CCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.857999801635742
[N+]1(C(C)CCC)=CN(CCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.822000026702881
