Smile,Type,LUMO_ev
[N+]1(CCC)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.952000141143799
[N+]1(C(C)C)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.876999855041504
[N+]1(CCC)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.995999813079834
[N+]1(C(C)C)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.861999988555908
[N+]1(CCC)=CN(CCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.945000171661377
[N+]1(C(C)C)=CN(CCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.803999900817871
[N+]1(CCC)=CN(CCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.915999889373779
[N+]1(C(C)C)=CN(CCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.796000003814697
[N+]1(CCC)=CN(CC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.915999889373779
[N+]1(C(C)C)=CN(CC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.848999977111816
[N+]1(CCC)=CN(CC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.8979997634887695
[N+]1(C(C)C)=CN(CC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.765999794006348
[N+]1(CCC)=CN(CC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.886000156402588
[N+]1(C(C)C)=CN(CC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.8480000495910645
[N+]1(CCC)=CN(CC(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.857999801635742
[N+]1(C(C)C)=CN(CC(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.7779998779296875
[N+]1(CCC)=CN(C(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.840000152587891
[N+]1(C(C)C)=CN(C(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.758999824523926
[N+]1(CCC)=CN(C(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.820000171661377
[N+]1(C(C)C)=CN(C(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.749000072479248
[N+]1(CCC)=CN(C(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.736000061035156
[N+]1(C(C)C)=CN(C(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.678999900817871
[N+]1(CCC)=CN(C(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.748000144958496
[N+]1(C(C)C)=CN(C(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.686999797821045
[N+]1(CCC)=CN(C(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.826000213623047
[N+]1(C(C)C)=CN(C(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.744999885559082
[N+]1(CCC)=CN(C(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.822000026702881
[N+]1(C(C)C)=CN(C(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.736999988555908
[N+]1(CCC)=CN(C(C)(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.736999988555908
[N+]1(C(C)C)=CN(C(C)(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.617000102996826
[N+]1(CCC)=CN(C(C)(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.788000106811523
[N+]1(C(C)C)=CN(C(C)(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.664999961853027
[N+]1(CCC)=CN(C(C)(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.760000228881836
[N+]1(C(C)C)=CN(C(C)(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.692999839782715
