Smile,Type,LUMO_ev
[N+]1(CCCCCC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.97599983215332
[N+]1(CCCC(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.9670000076293945
[N+]1(CCC(C)CC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.927999973297119
[N+]1(CCC(C)(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.890999794006348
[N+]1(CC(C)CCC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.89900016784668
[N+]1(CC(C)C(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.879000186920166
[N+]1(CC(CC)CC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.875
[N+]1(CC(C)(C)CC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.874000072479248
[N+]1(C(C)CCCC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.85699987411499
[N+]1(C(C)CC(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.848999977111816
[N+]1(C(C)C(C)CC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.756999969482422
[N+]1(C(C)C(C)(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.793000221252441
[N+]1(C(CC)CCC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.869999885559082
[N+]1(C(CC)C(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.818999767303467
[N+]1(C(C)(C)CCC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.7179999351501465
[N+]1(C(C)(C)C(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.74399995803833
[N+]1(C(C)(CC)CC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.7270002365112305
[N+]1(CCCCCC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.909999847412109
[N+]1(CCCC(C)C)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.916999816894531
[N+]1(CCC(C)CC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.89300012588501
[N+]1(CCC(C)(C)C)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.874000072479248
