Smile,Type,LUMO_ev
[N+]1(CCCCC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.980000019073486
[N+]1(CCC(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.988999843597412
[N+]1(CC(C)CC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.921999931335449
[N+]1(CC(C)(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.9079999923706055
[N+]1(C(C)CCC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.875999927520752
[N+]1(C(C)C(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.868000030517578
[N+]1(C(CC)CC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.866000175476074
[N+]1(C(C)(C)CC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.765999794006348
[N+]1(CCCCC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.949999809265137
[N+]1(CCC(C)C)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.932000160217285
[N+]1(CC(C)CC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.901000022888184
[N+]1(CC(C)(C)C)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.876999855041504
[N+]1(C(C)CCC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.806000232696533
[N+]1(C(C)C(C)C)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.803999900817871
[N+]1(C(CC)CC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.810999870300293
[N+]1(C(C)(C)CC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.749000072479248
[N+]1(CCCCC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.894999980926514
[N+]1(CCC(C)C)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.848999977111816
[N+]1(CC(C)CC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.864999771118164
[N+]1(CC(C)(C)C)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.809999942779541
[N+]1(C(C)CCC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.763999938964844
[N+]1(C(C)C(C)C)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.757999897003174
[N+]1(C(CC)CC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.767000198364258
[N+]1(C(C)(C)CC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.709000110626221
[N+]1(CCCCC)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.764999866485596
[N+]1(CCC(C)C)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.763999938964844
[N+]1(CC(C)CC)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.752999782562256
[N+]1(CC(C)(C)C)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.691999912261963
[N+]1(C(C)CCC)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.651000022888184
[N+]1(C(C)C(C)C)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.6579999923706055
[N+]1(C(CC)CC)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.663000106811523
[N+]1(C(C)(C)CC)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.590000152587891
