Smile,Type,LUMO_ev
[N+]1(C)=CN(CCCCCC)(C=C1),1-methyl-3-alkylimidazolium,-5.041999816894531
[N+]1(C)=CN(CCCC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.994999885559082
[N+]1(C)=CN(CCC(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.986000061035156
[N+]1(C)=CN(CCC(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.888999938964844
[N+]1(C)=CN(CC(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-5.011000156402588
[N+]1(C)=CN(CC(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.989999771118164
[N+]1(C)=CN(CC(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.9770002365112305
[N+]1(C)=CN(CC(C)(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.8429999351501465
[N+]1(C)=CN(C(C)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-4.8979997634887695
[N+]1(C)=CN(C(C)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.9770002365112305
[N+]1(C)=CN(C(C)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-5.086999893188477
[N+]1(C)=CN(C(C)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.934999942779541
[N+]1(C)=CN(C(CC)CCC)(C=C1),1-methyl-3-alkylimidazolium,-5.013999938964844
[N+]1(C)=CN(C(CC)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.063000202178955
[N+]1(C)=CN(C(C)(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-4.9039998054504395
[N+]1(C)=CN(C(C)(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.986999988555908
[N+]1(C)=CN(C(C)(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.999000072479248
