Smile,Type,LUMO_ev
[N+]1(CCCC)=CN(CCCCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.894999980926514
[N+]1(CC(C)C)=CN(CCCCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.848999977111816
[N+]1(C(C)CC)=CN(CCCCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.789000034332275
[N+]1(C(C)(C)C)=CN(CCCCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.73799991607666
[N+]1(CCCC)=CN(CCCCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.88100004196167
[N+]1(CC(C)C)=CN(CCCCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.863999843597412
[N+]1(C(C)CC)=CN(CCCCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.797999858856201
[N+]1(C(C)(C)C)=CN(CCCCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.743000030517578
[N+]1(CCCC)=CN(CCCCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.860000133514404
[N+]1(CC(C)C)=CN(CCCCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.848999977111816
[N+]1(C(C)CC)=CN(CCCCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.7829999923706055
[N+]1(C(C)(C)C)=CN(CCCCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.741000175476074
[N+]1(CCCC)=CN(CCCCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.883999824523926
[N+]1(CC(C)C)=CN(CCCCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.855999946594238
[N+]1(C(C)CC)=CN(CCCCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.798999786376953
[N+]1(C(C)(C)C)=CN(CCCCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.71999979019165
[N+]1(CCCC)=CN(CCCCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.888000011444092
[N+]1(CC(C)C)=CN(CCCCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.859000205993652
[N+]1(C(C)CC)=CN(CCCCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.78000020980835
[N+]1(C(C)(C)C)=CN(CCCCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-4.736999988555908
[N+]1(CCCC)=CN(CCCCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.853000164031982
[N+]1(CC(C)C)=CN(CCCCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.861999988555908
[N+]1(C(C)CC)=CN(CCCCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.788000106811523
[N+]1(C(C)(C)C)=CN(CCCCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-4.708000183105469
[N+]1(CCCC)=CN(CCCCCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.85699987411499
[N+]1(CC(C)C)=CN(CCCCCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.861999988555908
[N+]1(C(C)CC)=CN(CCCCCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-4.789999961853027
