Smiles,BalabanJ,BertzCT,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA2,EState_VSA3,EState_VSA4,FractionCSP3,Ipc,Kappa2,Kappa3,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinAbsEStateIndex,MinAbsPartialCharge,MinPartialCharge,NumRotatableBonds,PEOE_VSA10,PEOE_VSA7,PEOE_VSA8,SlogP_VSA3,SlogP_VSA4,VSA_EState4,VSA_EState6,VSA_EState7,VSA_EState9,fr_aryl_methyl,fr_unbrch_alkane,LUMO_eV
[N+]1(C)=CN(C(C)C(C)(C)C(C)CCC)(C=C1),2.820682589,325.2312615,4.305176022,4.305176022,2.299517458,2.299517458,0,11.4568313,5.917906046,0.785714286,3439.354055,5.026927203,2.659971981,2.386898148,0.243262846,2.386898148,0.335347222,0.239526496,-0.239526496,5,18.43552797,12.84164325,5.414990469,7.047671983,11.33289652,0.335347222,0.537268519,9.036447153,2.075090782,1,0,-4.85451376
[N+]1(C)=CN(C(C)C(C)(C)C(C)C(C)C)(C=C1),2.90879437,336.25947,4.486947143,4.486947143,2.32231548,2.32231548,0,17.37473734,5.917906046,0.785714286,3029.669144,4.603089639,2.474730855,2.377314815,0.243262847,2.377314815,0.305740741,0.239526496,-0.239526496,4,18.43552797,18.75954929,5.414990469,7.047671983,17.25080256,0.305740741,0.519537037,6.436059146,2.071522109,1,0,-4.77968241
[N+]1(C)=CN(C(C)C(C)(C)C(CC)CC)(C=C1),2.89898953,321.2312615,4.35116923,4.35116923,2.764723756,2.764723756,0,11.4568313,5.917906046,0.785714286,3567.978634,5.026927203,2.474730855,2.398148148,0.243262847,2.398148148,0.342777778,0.239526496,-0.239526496,5,18.43552797,12.84164325,5.414990469,7.047671983,11.33289652,0.342777778,0.54037037,8.991605726,2.076730442,1,0,-4.771246876
[N+]1(C)=CN(C(C)C(C)(C)C(C)(C)CC)(C=C1),3.001506207,347.3722441,4.909230927,4.909230927,2.092303228,2.092303228,5.414990469,11.4568313,0,0.785714286,2930.335888,4.23067958,2.157906857,2.376157407,0.243263022,2.376157407,0.271597222,0.239526495,-0.239526495,4,18.43552797,12.33872767,5.414990469,7.047671983,10.82998094,0.614115174,0.50337963,7.6384649,2.070618622,1,0,-4.79328811
[N+]1(C)=CN(C(C)C(C)(CC)CCCC)(C=C1),2.785760557,316.2901724,4.154339344,4.154339344,2.320109966,2.320109966,0,11.4568313,0,0.785714286,4103.969104,5.51211635,2.866817874,2.423935185,0.243262844,2.423935185,0.418680556,0.239526496,-0.239526496,6,18.43552797,19.76538045,5.414990469,7.047671983,5.414990469,0.418680556,0.574305556,11.68492788,2.081893503,1,0,-4.775872814
[N+]1(C)=CN(C(C)C(C)(CC)CC(C)C)(C=C1),2.871061406,327.2312615,3.927456129,3.927456129,2.601349528,2.601349528,0,11.4568313,5.917906046,0.785714286,3307.917485,5.026927203,2.866817874,2.414351852,0.243262846,2.414351852,0.389074074,0.239526496,-0.239526496,5,18.43552797,25.68328649,5.414990469,7.047671983,11.33289652,0.389074074,0.556574074,8.986669501,2.07832483,1,0,-4.780226638
[N+]1(C)=CN(C(C)C(C)(CC)C(C)CC)(C=C1),2.960398058,329.2312615,4.690961394,4.690961394,2.561020138,2.561020138,0,11.4568313,5.917906046,0.785714286,3881.822552,5.026927203,2.308187217,2.422453704,0.24326302,2.422453704,0.375763889,0.239526495,-0.239526495,5,18.43552797,19.26246487,5.414990469,7.047671983,11.33289652,0.375763889,0.549675926,8.956594152,2.079122024,1,0,-4.804716898
[N+]1(C)=CN(C(C)C(C)(CC)C(C)(C)C)(C=C1),3.06469027,345.8624691,4.606490531,4.606490531,2.479948817,2.479948817,0,16.87182177,0,0.785714286,2836.461431,4.23067958,2.157906857,2.400462963,0.243263195,2.400462963,0.304583333,0.239526494,-0.239526494,3,18.43552797,18.75954929,5.414990469,7.047671983,10.82998094,0.614115174,0.512685185,7.642295918,2.073010204,1,0,-4.79736982
[N+]1(C)=CN(C(C)C(C)(CCC)CCC)(C=C1),2.852267208,308.2901724,3.887445985,3.887445985,2.743422384,2.743422384,0,11.4568313,0,0.785714286,3835.909018,5.51211635,2.866817874,2.435185185,0.243262846,2.435185185,0.426111111,0.239526496,-0.239526496,6,18.43552797,19.76538045,5.414990469,7.047671983,5.414990469,0.426111111,0.577407407,11.66027164,2.083533163,1,0,-4.769342078
[N+]1(C)=CN(C(C)C(C)(C(C)C)CCC)(C=C1),2.948175647,327.2312615,4.298615515,4.298615515,2.557718412,2.557718412,0,17.37473734,0,0.785714286,3482.737703,5.026927203,2.474730855,2.422453704,0.24326302,2.422453704,0.375763889,0.239526495,-0.239526495,5,18.43552797,19.26246487,5.414990469,7.047671983,11.33289652,0.375763889,0.549675926,9.019094152,2.079122024,1,0,-4.773151674
