Smiles,HOMO_eV,LUMO_eV
[N+]1(C(C)(C)CC)=CN(C(C)(C)C)(C=C1),-11.644030174000001,-4.592195864
[N+]1(CC(C)(C)C)=CN(CCCC)(C=C1),-11.837775342,-4.928256654
[N+]1(C(C)CCC)=CN(CCCC)(C=C1),-11.814101424,-4.88308573
[N+]1(C(C)C(C)C)=CN(CCCC)(C=C1),-11.805121662,-4.873289626
[N+]1(C(CC)CC)=CN(CCCC)(C=C1),-11.845122420000001,-4.82049951
[N+]1(C(C)(C)CC)=CN(CCCC)(C=C1),-11.789611164,-4.762267114
[N+]1(CCCCC)=CN(CC(C)C)(C=C1),-11.846755104000001,-4.938596986
[N+]1(CCC(C)C)=CN(CC(C)C)(C=C1),-11.853557954000001,-4.933154706000001
[N+]1(CCCCC)=CN(CCCCC)(C=C1),-11.807842802,-4.957100738
[N+]1(CC(C)(C)C)=CN(CCC(C)C)(C=C1),-11.814373538,-4.90485485
[N+]1(C(C)CCC)=CN(CCC(C)C)(C=C1),-11.787434252,-4.857779128000001
[N+]1(C(C)C(C)C)=CN(CCC(C)C)(C=C1),-11.778182376,-4.85043205
[N+]1(C(CC)CC)=CN(CCC(C)C)(C=C1),-11.813285082,-4.79056697
[N+]1(C(C)(C)CC)=CN(CCC(C)C)(C=C1),-11.70770485,-4.802267872
[N+]1(CC(C)CC)=CN(CC(C)CC)(C=C1),-11.810291828,-4.943222924
[N+]1(CC(C)(C)C)=CN(CC(C)CC)(C=C1),-11.785529454,-4.883357844000001
[N+]1(C(C)CCC)=CN(CC(C)CC)(C=C1),-11.805938004000001,-4.769614192
[N+]1(C(C)C(C)C)=CN(CC(C)CC)(C=C1),-11.755869028000001,-4.838459034
[N+]1(C(CC)CC)=CN(CC(C)CC)(C=C1),-11.807570688,-4.7829477780000005
[N+]1(CCC(C)C)=CN(CCCCC)(C=C1),-11.862537716,-4.987305392000001
[N+]1(C(C)(C)CC)=CN(CC(C)CC)(C=C1),-11.734372022,-4.722538470000001
[N+]1(CC(C)(C)C)=CN(CC(C)(C)C)(C=C1),-11.785801568,-4.825397562
[N+]1(C(C)CCC)=CN(CC(C)(C)C)(C=C1),-11.74444024,-4.788662172
[N+]1(C(C)C(C)C)=CN(CC(C)(C)C)(C=C1),-11.742535442000001,-4.778593954
[N+]1(C(CC)CC)=CN(CC(C)(C)C)(C=C1),-11.741446986,-4.801723644
[N+]1(C(C)(C)CC)=CN(CC(C)(C)C)(C=C1),-11.723215348,-4.658319566
[N+]1(C(C)CCC)=CN(C(C)CCC)(C=C1),-11.723487462,-4.742674906
[N+]1(C(C)C(C)C)=CN(C(C)CCC)(C=C1),-11.712602902,-4.732878802
[N+]1(C(CC)CC)=CN(C(C)CCC)(C=C1),-11.725664374,-4.7649882539999995
[N+]1(C(C)(C)CC)=CN(C(C)CCC)(C=C1),-11.637771552,-4.6795444580000005
[N+]1(CC(C)CC)=CN(CCCCC)(C=C1),-11.85872812,-4.89397029
[N+]1(C(C)C(C)C)=CN(C(C)C(C)C)(C=C1),-11.710153876,-4.722810584
[N+]1(C(CC)CC)=CN(C(C)C(C)C)(C=C1),-11.709065420000002,-4.7516546680000005
[N+]1(C(C)(C)CC)=CN(C(C)C(C)C)(C=C1),-11.684030932,-4.606345792000001
[N+]1(C(CC)CC)=CN(C(CC)CC)(C=C1),-11.71994998,-4.779410296
[N+]1(C(C)(C)CC)=CN(C(CC)CC)(C=C1),-11.638860008,-4.700225122
[N+]1(C(C)(C)CC)=CN(C(C)(C)CC)(C=C1),-11.556137352,-4.624305316
[N+]1(CC(C)(C)C)=CN(CCCCC)(C=C1),-11.81110817,-4.9119298140000005
[N+]1(C(C)CCC)=CN(CCCCC)(C=C1),-11.788522708,-4.8708406
[N+]1(C(C)C(C)C)=CN(CCCCC)(C=C1),-11.750970976000001,-4.840091718
[N+]1(C(CC)CC)=CN(CCCCC)(C=C1),-11.821176388,-4.793832338
[N+]1(C(C)(C)CC)=CN(CCCCC)(C=C1),-11.694643378,-4.802539986
[N+]1(CCC(C)C)=CN(CCC(C)C)(C=C1),-11.884034722,-4.899684684
[N+]1(CC(C)CC)=CN(CCC(C)C)(C=C1),-11.866891540000001,-4.885534756
[N+]1(CCCCCC)=CN(CC)(C=C1),-11.61518609,-4.9911149880000005
[N+]1(C(C)C(C)CC)=CN(CC)(C=C1),-11.833421518,-4.767981508
[N+]1(C(C)C(C)(C)C)=CN(CC)(C=C1),-11.848115674,-4.809342836000001
[N+]1(C(CC)CCC)=CN(CC)(C=C1),-11.893286598000001,-4.8787319060000005
[N+]1(C(CC)C(C)C)=CN(CC)(C=C1),-11.880769354,-4.862405066
[N+]1(C(C)(C)CCC)=CN(CC)(C=C1),-11.845122420000001,-4.7211779
[N+]1(C(C)(C)C(C)C)=CN(CC)(C=C1),-11.787434252,-4.781859322
[N+]1(C(C)(CC)CC)=CN(CC)(C=C1),-11.798046698,-4.813968774
[N+]1(CCCC(C)C)=CN(CC)(C=C1),-11.845666648,-4.979414086
[N+]1(CCC(C)CC)=CN(CC)(C=C1),-11.924851822,-4.97424392
[N+]1(CCC(C)(C)C)=CN(CC)(C=C1),-11.951791108,-4.904582736000001
[N+]1(CC(C)CCC)=CN(CC)(C=C1),-11.919681656,-4.950842116
[N+]1(CC(C)C(C)C)=CN(CC)(C=C1),-11.891926028,-4.95111423
[N+]1(CC(CC)CC)=CN(CC)(C=C1),-11.977914052000001,-4.872201169999999
[N+]1(CC(C)(C)CC)=CN(CC)(C=C1),-11.903626930000001,-4.894786632000001
[N+]1(C(C)CCCC)=CN(CC)(C=C1),-11.889204888,-4.870024258
[N+]1(C(C)CC(C)C)=CN(CC)(C=C1),-11.91179035,-4.864309864
[N+]1(CCCCCC)=CN(CCCC)(C=C1),-11.56620557,-4.979141972000001
[N+]1(C(C)C(C)CC)=CN(CCCC)(C=C1),-11.751515204,-4.697776096
[N+]1(C(C)C(C)(C)C)=CN(CCCC)(C=C1),-11.716956726,-4.8019957579999994
[N+]1(C(CC)CCC)=CN(CCCC)(C=C1),-11.785801568,-4.87628288
[N+]1(C(CC)C(C)C)=CN(CCCC)(C=C1),-11.799679382,-4.779954524000001
[N+]1(C(C)(C)CCC)=CN(CCCC)(C=C1),-11.725120146,-4.7151913919999995
[N+]1(C(C)(C)C(C)C)=CN(CCCC)(C=C1),-11.720222094,-4.709204884
[N+]1(C(C)(CC)CC)=CN(CCCC)(C=C1),-11.716684612000002,-4.724987496
[N+]1(CCCCCC)=CN(CC(C)C)(C=C1),-11.62334951,-4.90893656
[N+]1(CCCC(C)C)=CN(CC(C)C)(C=C1),-11.807842802,-4.914923068
[N+]1(CCC(C)CC)=CN(CC(C)C)(C=C1),-11.868524224,-4.896963544
[N+]1(CCCC(C)C)=CN(CCCC)(C=C1),-11.793148646,-4.973699692
[N+]1(CCC(C)(C)C)=CN(CC(C)C)(C=C1),-11.867707882000001,-4.831928298
[N+]1(CC(C)CCC)=CN(CC(C)C)(C=C1),-11.789066936000001,-4.882813616
[N+]1(CC(C)C(C)C)=CN(CC(C)C)(C=C1),-11.804849548,-4.863765636
[N+]1(CC(CC)CC)=CN(CC(C)C)(C=C1),-11.839135912000001,-4.872745398
[N+]1(CC(C)(C)CC)=CN(CC(C)C)(C=C1),-11.761855536,-4.826213904
[N+]1(C(C)CCCC)=CN(CC(C)C)(C=C1),-11.760767079999999,-4.803628442
[N+]1(C(C)CC(C)C)=CN(CC(C)C)(C=C1),-11.762127650000002,-4.79464868
[N+]1(C(C)C(C)CC)=CN(CC(C)C)(C=C1),-11.733827794,-4.71301448
[N+]1(C(C)C(C)(C)C)=CN(CC(C)C)(C=C1),-11.707432736000001,-4.791655426
[N+]1(C(CC)CCC)=CN(CC(C)C)(C=C1),-11.804033206000001,-4.783219892
[N+]1(CCC(C)CC)=CN(CCCC)(C=C1),-11.851381042,-4.970162210000001
[N+]1(C(CC)C(C)C)=CN(CC(C)C)(C=C1),-11.765393018,-4.853969532000001
[N+]1(C(C)(C)CCC)=CN(CC(C)C)(C=C1),-11.718861524,-4.716824076
[N+]1(C(C)(C)C(C)C)=CN(CC(C)C)(C=C1),-11.71722884,-4.704034718
[N+]1(C(C)(CC)CC)=CN(CC(C)C)(C=C1),-11.713147130000001,-4.718184646
[N+]1(CCCCCC)=CN(C(C)CC)(C=C1),-11.580355498000001,-4.886895326
[N+]1(CCCC(C)C)=CN(C(C)CC)(C=C1),-11.788794822,-4.884718414
[N+]1(CCC(C)CC)=CN(C(C)CC)(C=C1),-11.790971734,-4.870568486000001
[N+]1(CCC(C)(C)C)=CN(C(C)CC)(C=C1),-11.799407268000001,-4.804172670000001
[N+]1(CC(C)CCC)=CN(C(C)CC)(C=C1),-11.764304562,-4.841996516
[N+]1(CC(C)C(C)C)=CN(C(C)CC)(C=C1),-11.803488978,-4.762811342
[N+]1(CCC(C)(C)C)=CN(CCCC)(C=C1),-11.867163654,-4.889344352
[N+]1(CC(CC)CC)=CN(C(C)CC)(C=C1),-11.805938004000001,-4.767165166000001
[N+]1(CC(C)(C)CC)=CN(C(C)CC)(C=C1),-11.728929742000002,-4.791111198
[N+]1(C(C)CCCC)=CN(C(C)CC)(C=C1),-11.730290312000001,-4.754920036000001
[N+]1(C(C)CC(C)C)=CN(C(C)CC)(C=C1),-11.735732592,-4.747300844000001
[N+]1(C(C)C(C)CC)=CN(C(C)CC)(C=C1),-11.667704092000001,-4.655326312000001
[N+]1(C(C)C(C)(C)C)=CN(C(C)CC)(C=C1),-11.659268558,-4.680088686
[N+]1(C(CC)CCC)=CN(C(C)CC)(C=C1),-11.727024944,-4.763355570000001
[N+]1(C(CC)C(C)C)=CN(C(C)CC)(C=C1),-11.708521192000001,-4.751110440000001
[N+]1(C(C)(C)CCC)=CN(C(C)CC)(C=C1),-11.667704092000001,-4.6093390460000006
[N+]1(C(C)(C)C(C)C)=CN(C(C)CC)(C=C1),-11.622261054,-4.665938758
[N+]1(CC(C)CCC)=CN(CCCC)(C=C1),-11.841857052,-4.877371336
[N+]1(C(C)(CC)CC)=CN(C(C)CC)(C=C1),-11.63151293,-4.694510728
[N+]1(CCCCCC)=CN(C(C)(C)C)(C=C1),-11.557225808,-4.756824834
[N+]1(CCCC(C)C)=CN(C(C)(C)C)(C=C1),-11.715596156,-4.747300844000001
[N+]1(CCC(C)CC)=CN(C(C)(C)C)(C=C1),-11.772467982,-4.748933528
[N+]1(CCC(C)(C)C)=CN(C(C)(C)C)(C=C1),-11.770018956,-4.679272344
[N+]1(CC(C)CCC)=CN(C(C)(C)C)(C=C1),-11.731922996000002,-4.720089444
[N+]1(CC(C)C(C)C)=CN(C(C)(C)C)(C=C1),-11.70498371,-4.71981733
[N+]1(CC(CC)CC)=CN(C(C)(C)C)(C=C1),-11.780087174,-4.64362541
[N+]1(CC(C)(C)CC)=CN(C(C)(C)C)(C=C1),-11.70770485,-4.66403396
[N+]1(C(C)CCCC)=CN(C(C)(C)C)(C=C1),-11.70498371,-4.6354619900000005
[N+]1(CC(C)C(C)C)=CN(CCCC)(C=C1),-11.85600698,-4.872473284
[N+]1(C(C)CC(C)C)=CN(C(C)(C)C)(C=C1),-11.713419244,-4.623761088
[N+]1(C(C)C(C)CC)=CN(C(C)(C)C)(C=C1),-11.6464792,-4.527432732
