Smiles,BalabanJ,BertzCT,Chi1,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA2,EState_VSA3,EState_VSA5,EState_VSA7,FractionCSP3,Ipc,Kappa2,Kappa3,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsPartialCharge,NumRotatableBonds,PEOE_VSA6,PEOE_VSA8,PEOE_VSA9,SlogP_VSA3,SlogP_VSA4,VSA_EState1,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,fr_aryl_methyl,fr_unbrch_alkane,HOMO_eV
[N+]1(C)=CN(C)(C=C1),3.042002767407289,138.36869300355525,3.2876937002347035,0.9012150978405964,0.9012150978405964,0.5745868102344671,0.5745868102344671,0.0,0.0,0.0,41.95055047892778,0.4,46.670482779147534,1.3699843332972323,0.7964554233347821,2.0,0.2428053723032725,2.0,0.2428053723032725,0.2395413069110697,0,0.0,0.0,14.09534396535438,14.09534396535438,0.0,4.0,0.0,0.0,0.0,6.0,2,0,-12.402684006
[N+]1(C)=CN(CC)(C=C1),2.837541430565328,166.7913933803813,3.825698502695488,1.1888811306045146,1.1888811306045146,0.6887728987459062,0.6887728987459062,0.0,0.0,0.0,17.81161520208162,0.5,92.21698662121833,1.987228405606425,0.8858300949406248,2.125,0.2430186993463524,2.125,0.2430186993463524,0.2395341456572595,1,0.0,0.0,13.592428388589765,13.592428388589765,0.0,4.15625,0.0,0.0,0.0,6.142361111111111,2,0,-12.278055794
[N+]1(CC)=CN(CC)(C=C1),2.740568234431533,160.29676078209476,4.363703305156274,1.4765471633684328,1.4765471633684328,0.8128647518286877,0.8128647518286877,0.0,0.0,0.0,0.0,0.5714285714285714,173.18323482748238,2.6672700037699983,1.312742009375916,2.15625,0.2432320254218981,2.15625,0.2432320254218981,0.2371192689613929,2,0.0,0.0,13.08951281182515,13.08951281182515,0.0,4.3125,0.0,0.0,0.0,6.284722222222221,2,0,-12.159686204
[N+]1(CCC)=CN(C)(C=C1),2.613882432121332,178.79676078209474,4.325698502695489,1.3055384464315438,1.3055384464315438,0.8921835012303041,0.8921835012303041,0.0,0.0,6.4208216229260096,7.04767198267719,0.5714285714285714,147.27981845836288,2.6672700037699983,1.557397546315933,2.180555555555556,0.2430286533490257,2.180555555555556,0.2430286533490257,0.2395339971402748,2,6.923737199690624,0.0,13.592428388589765,13.592428388589765,0.0,4.231805555555555,0.0,0.0,0.0,7.427916666666666,2,0,-12.17846207
[N+]1(C(C)C)=CN(C)(C=C1),2.845602313474898,188.55115019034508,4.198377302757662,1.385691602751683,1.385691602751683,0.774896052119933,0.774896052119933,0.0,6.041840829147961,0.0,17.81161520208162,0.5714285714285714,130.49592980561937,2.212622069469324,1.312742009375916,2.1666666666666665,0.2432323331650943,2.1666666666666665,0.2432323331650943,0.2395269494988152,1,0.0,0.0,13.08951281182515,7.04767198267719,0.0,4.208333333333333,0.0,0.0,0.5751851851851852,6.189814814814815,1,0,-12.131930576
[N+]1(CCC)=CN(CCC)(C=C1),2.508934805493459,182.58257938150385,5.363703305156274,1.7098617950224912,1.7098617950224912,1.2196859567974838,1.2196859567974838,0.0,0.0,12.84164324585202,0.0,0.6666666666666666,441.0772422093506,4.164037352071751,2.371057050644277,2.231805555555556,0.2432519333824518,2.231805555555556,0.2432519333824518,0.2368450906917427,4,13.847474399381248,0.0,13.08951281182515,13.08951281182515,0.0,4.463611111111111,0.0,0.0,0.0,8.86798611111111,2,0,-12.01791481
[N+]1(C(C)C)=CN(CCC)(C=C1),2.6553603860072705,213.0922388808092,5.236382105218447,1.7900149513426304,1.7900149513426304,1.106786924273359,1.106786924273359,0.0,6.041840829147961,6.4208216229260096,0.0,0.6666666666666666,392.7681880179018,3.5574623232348133,2.0695300247553323,2.2222222222222223,0.2434556122274838,2.2222222222222223,0.2434556122274838,0.2368380428799147,3,6.923737199690624,0.0,12.586597235060536,6.544756405912575,0.0,4.440138888888889,0.0,0.0,0.5769501133786847,7.615841836734694,1,0,-11.950430538
[N+]1(C(C)C)=CN(C(C)C)(C=C1),2.8174132802285383,200.7215343143656,5.1090609052806215,1.8701681076627692,1.8701681076627692,0.9958320324559656,0.9958320324559656,0.0,12.08368165829592,0.0,0.0,0.6666666666666666,346.7113536871933,3.07438171570407,1.8220661079652816,2.208333333333333,0.2436592901394717,2.208333333333333,0.2436592901394717,0.2347111543620897,2,0.0,0.0,12.08368165829592,0.0,0.0,4.416666666666667,0.0,0.0,1.1296296296296295,6.37962962962963,0,0,-11.883490494
[N+]1(CCCC)=CN(C)(C=C1),2.422977777805392,190.89259058064115,4.825698502695489,1.5935989222832574,1.5935989222832574,0.9746726803266174,0.9746726803266174,0.0,0.0,12.84164324585202,7.04767198267719,0.625,256.72310814936304,3.396271974255177,1.8650356476646408,2.211805555555556,0.2430288243700732,2.211805555555556,0.2430288243700732,0.2395339959591556,3,13.344558822616634,0.0,13.592428388589765,13.592428388589765,0.0,4.276944444444444,0.0,0.0,0.0,8.817018140589568,2,0,-12.143631478
[N+]1(CC(C)C)=CN(C)(C=C1),2.582563696884701,200.777437538348,4.681540550352056,1.3996996412824063,1.3996996412824063,1.0313495206940932,1.0313495206940932,0.0,0.0,0.0,7.04767198267719,0.625,198.2363234323693,2.8627429819813117,1.8650356476646408,2.2222222222222223,0.2430386764226219,2.2222222222222223,0.2430386764226219,0.239533847397878,2,13.847474399381248,0.0,13.592428388589765,13.592428388589765,5.917906046161393,4.256990740740741,0.0,0.7290740740740741,0.0,6.252361111111111,1,0,-12.132746918
