Smile,Type,HOMO_ev
[N+]1(CCCCC)=CN(CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.901000022888184
[N+]1(CCC(C)C)=CN(CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.946999549865723
[N+]1(CC(C)CC)=CN(CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.92300033569336
[N+]1(CC(C)(C)C)=CN(CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.876999855041504
[N+]1(C(C)CCC)=CN(CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.864999771118164
[N+]1(C(C)C(C)C)=CN(CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.864999771118164
[N+]1(C(CC)CC)=CN(CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.885000228881836
[N+]1(C(C)(C)CC)=CN(CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.8149995803833
[N+]1(CCCCC)=CN(C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.855999946594238
[N+]1(CCC(C)C)=CN(C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.881999969482422
[N+]1(CC(C)CC)=CN(C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.852999687194824
[N+]1(CC(C)(C)C)=CN(C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.829000473022461
[N+]1(C(C)CCC)=CN(C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.824999809265137
[N+]1(C(C)C(C)C)=CN(C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.791000366210938
[N+]1(C(CC)CC)=CN(C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.810999870300293
[N+]1(C(C)(C)CC)=CN(C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.732000350952148
