Smile,Type,HOMO_ev
[N+]1(CCCCC)=CN(CCCCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.404999732971191
[N+]1(CCC(C)C)=CN(CCCCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.430999755859375
[N+]1(CC(C)CC)=CN(CCCCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.402000427246094
[N+]1(CC(C)(C)C)=CN(CCCCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.473999977111816
[N+]1(C(C)CCC)=CN(CCCCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.42300033569336
[N+]1(C(C)C(C)C)=CN(CCCCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.456999778747559
[N+]1(C(CC)CC)=CN(CCCCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.383000373840332
[N+]1(C(C)(C)CC)=CN(CCCCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.430999755859375
[N+]1(CCCCC)=CN(CCCCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.397000312805176
[N+]1(CCC(C)C)=CN(CCCCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.458999633789062
[N+]1(CC(C)CC)=CN(CCCCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.470000267028809
[N+]1(CC(C)(C)C)=CN(CCCCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.465999603271484
[N+]1(C(C)CCC)=CN(CCCCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.399999618530273
[N+]1(C(C)C(C)C)=CN(CCCCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.491000175476074
[N+]1(C(CC)CC)=CN(CCCCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.402000427246094
[N+]1(C(C)(C)CC)=CN(CCCCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.430000305175781
[N+]1(CCCCC)=CN(CCCCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.376999855041504
[N+]1(CCC(C)C)=CN(CCCCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.449000358581543
[N+]1(CC(C)CC)=CN(CCCCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.468000411987305
[N+]1(CC(C)(C)C)=CN(CCCCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.440999984741211
[N+]1(C(C)CCC)=CN(CCCCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.420999526977539
[N+]1(C(C)C(C)C)=CN(CCCCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.468000411987305
[N+]1(C(CC)CC)=CN(CCCCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.42199993133545
[N+]1(C(C)(C)CC)=CN(CCCCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.482999801635742
[N+]1(CCCCC)=CN(CCCCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.48900032043457
[N+]1(CCC(C)C)=CN(CCCCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.498000144958496
[N+]1(CC(C)CC)=CN(CCCCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.506999969482422
[N+]1(CC(C)(C)C)=CN(CCCCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.579000473022461
[N+]1(C(C)CCC)=CN(CCCCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.498000144958496
[N+]1(C(C)C(C)C)=CN(CCCCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.593999862670898
[N+]1(C(CC)CC)=CN(CCCCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.519000053405762
[N+]1(C(C)(C)CC)=CN(CCCCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.581000328063965
[N+]1(CCCCC)=CN(CCCCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.425999641418457
[N+]1(CCC(C)C)=CN(CCCCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.475000381469727
[N+]1(CC(C)CC)=CN(CCCCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.487000465393066
[N+]1(CC(C)(C)C)=CN(CCCCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.50100040435791
[N+]1(C(C)CCC)=CN(CCCCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.475000381469727
[N+]1(C(C)C(C)C)=CN(CCCCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.565999984741211
[N+]1(C(CC)CC)=CN(CCCCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.527000427246094
[N+]1(C(C)(C)CC)=CN(CCCCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.54800033569336
[N+]1(CCCCC)=CN(CCCCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.456000328063965
[N+]1(CCC(C)C)=CN(CCCCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.508000373840332
[N+]1(CC(C)CC)=CN(CCCCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.531999588012695
[N+]1(CC(C)(C)C)=CN(CCCCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.588000297546387
[N+]1(C(C)CCC)=CN(CCCCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.555999755859375
[N+]1(C(C)C(C)C)=CN(CCCCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.597999572753906
[N+]1(C(CC)CC)=CN(CCCCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.54699993133545
[N+]1(C(C)(C)CC)=CN(CCCCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.571999549865723
[N+]1(CCCCC)=CN(CCCCCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.397000312805176
[N+]1(CCC(C)C)=CN(CCCCCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.451000213623047
[N+]1(CC(C)CC)=CN(CCCCCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.449999809265137
