Smile,Type,HOMO_ev
[N+]1(C)=CN(CCCCCC)(C=C1),1-methyl-3-alkylimidazolium,-11.442999839782715
[N+]1(C)=CN(CCCC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.98799991607666
[N+]1(C)=CN(CCC(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-12.020000457763672
[N+]1(C)=CN(CCC(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.95300006866455
[N+]1(C)=CN(CC(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-12.029000282287598
[N+]1(C)=CN(CC(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.993000030517578
[N+]1(C)=CN(CC(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-11.987000465393066
[N+]1(C)=CN(CC(C)(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-11.956000328063965
[N+]1(C)=CN(C(C)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-11.918000221252441
[N+]1(C)=CN(C(C)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.994000434875488
[N+]1(C)=CN(C(C)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-11.902999877929688
[N+]1(C)=CN(C(C)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-12.031000137329102
[N+]1(C)=CN(C(CC)CCC)(C=C1),1-methyl-3-alkylimidazolium,-12.026000022888184
[N+]1(C)=CN(C(CC)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-12.001999855041504
[N+]1(C)=CN(C(C)(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-12.059000015258789
[N+]1(C)=CN(C(C)(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-12.0600004196167
[N+]1(C)=CN(C(C)(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-12.00100040435791
