Smile,Type,HOMO_ev
[N+]1(CCCC)=CN(CCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.920000076293945
[N+]1(CC(C)C)=CN(CCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.968999862670898
[N+]1(C(C)CC)=CN(CCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.85099983215332
[N+]1(C(C)(C)C)=CN(CCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.831000328063965
[N+]1(CC(C)C)=CN(CC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.949000358581543
[N+]1(C(C)CC)=CN(CC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.871000289916992
[N+]1(C(C)(C)C)=CN(CC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.8149995803833
[N+]1(C(C)CC)=CN(C(C)CC)(C=C1),"1,3-dialkylmethylimidazolium",-11.802000045776367
[N+]1(C(C)(C)C)=CN(C(C)CC)(C=C1),"1,3-dialkylmethylimidazolium",-11.756999969482422
[N+]1(C(C)(C)C)=CN(C(C)(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.729000091552734
