Smile,Type,HOMO_ev
[N+]1(CCCCC)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.345999717712402
[N+]1(CCC(C)C)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.597999572753906
[N+]1(CC(C)CC)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.607000350952148
[N+]1(CC(C)(C)C)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.644000053405762
[N+]1(C(C)CCC)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.616999626159668
[N+]1(C(C)C(C)C)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.630999565124512
[N+]1(C(CC)CC)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.560999870300293
[N+]1(C(C)(C)CC)=CN(CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.541999816894531
[N+]1(CCCCC)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.67199993133545
[N+]1(CCC(C)C)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.682999610900879
[N+]1(CC(C)CC)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.729000091552734
[N+]1(CC(C)(C)C)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.729000091552734
[N+]1(C(C)CCC)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.6899995803833
[N+]1(C(C)C(C)C)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.71399974822998
[N+]1(C(CC)CC)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.71399974822998
[N+]1(C(C)(C)CC)=CN(CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.612000465393066
[N+]1(CCCCC)=CN(CCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.637999534606934
[N+]1(CCC(C)C)=CN(CCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.765000343322754
[N+]1(CC(C)CC)=CN(CCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.744000434875488
[N+]1(CC(C)(C)C)=CN(CCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.777999877929688
[N+]1(C(C)CCC)=CN(CCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.720999717712402
[N+]1(C(C)C(C)C)=CN(CCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.699000358581543
[N+]1(C(CC)CC)=CN(CCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.685999870300293
[N+]1(C(C)(C)CC)=CN(CCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.602999687194824
[N+]1(CCCCC)=CN(CCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.769000053405762
[N+]1(CCC(C)C)=CN(CCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.843000411987305
[N+]1(CC(C)CC)=CN(CCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.807999610900879
[N+]1(CC(C)(C)C)=CN(CCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.776000022888184
[N+]1(C(C)CCC)=CN(CCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.744000434875488
[N+]1(C(C)C(C)C)=CN(CCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.722000122070312
[N+]1(C(CC)CC)=CN(CCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.711000442504883
[N+]1(C(C)(C)CC)=CN(CCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.673999786376953
[N+]1(CCCCC)=CN(CC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.741000175476074
[N+]1(CCC(C)C)=CN(CC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.788000106811523
[N+]1(CC(C)CC)=CN(CC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.79699993133545
[N+]1(CC(C)(C)C)=CN(CC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.75
[N+]1(C(C)CCC)=CN(CC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.71500015258789
[N+]1(C(C)C(C)C)=CN(CC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.722000122070312
[N+]1(C(CC)CC)=CN(CC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.718000411987305
[N+]1(C(C)(C)CC)=CN(CC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.616000175476074
[N+]1(CCCCC)=CN(CC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.744999885559082
[N+]1(CCC(C)C)=CN(CC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.770000457763672
[N+]1(CC(C)CC)=CN(CC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.723999977111816
[N+]1(CC(C)(C)C)=CN(CC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.75100040435791
[N+]1(C(C)CCC)=CN(CC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.711000442504883
[N+]1(C(C)C(C)C)=CN(CC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.668999671936035
[N+]1(C(CC)CC)=CN(CC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.718999862670898
[N+]1(C(C)(C)CC)=CN(CC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.640000343322754
[N+]1(CCCCC)=CN(CC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.789999961853027
[N+]1(CCC(C)C)=CN(CC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.805999755859375
[N+]1(CC(C)CC)=CN(CC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.73900032043457
[N+]1(CC(C)(C)C)=CN(CC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.72700023651123
[N+]1(C(C)CCC)=CN(CC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.699999809265137
