Smile,Type,HOMO_ev
[N+]1(CCCCCC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.5600004196167
[N+]1(CCCC(C)C)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.555000305175781
[N+]1(CCC(C)CC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.689000129699707
[N+]1(CCC(C)(C)C)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.595000267028809
[N+]1(CC(C)CCC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.611000061035156
[N+]1(CC(C)C(C)C)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.633000373840332
[N+]1(CC(CC)CC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.730999946594238
[N+]1(CC(C)(C)CC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.720000267028809
[N+]1(C(C)CCCC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.631999969482422
[N+]1(C(C)CC(C)C)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.682999610900879
[N+]1(C(C)C(C)CC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.680999755859375
[N+]1(C(C)C(C)(C)C)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.652000427246094
[N+]1(C(CC)CCC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.6850004196167
[N+]1(C(CC)C(C)C)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.652000427246094
[N+]1(C(C)(C)CCC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.543000221252441
[N+]1(C(C)(C)C(C)C)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.557999610900879
[N+]1(C(C)(CC)CC)=CN(CCCCCC)(C=C1),"1,3-dialkylmethylimidazolium",-11.593999862670898
[N+]1(CCCC(C)C)=CN(CCCC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.697999954223633
[N+]1(CCC(C)CC)=CN(CCCC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.758999824523926
[N+]1(CCC(C)(C)C)=CN(CCCC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.78600025177002
[N+]1(CC(C)CCC)=CN(CCCC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.78600025177002
[N+]1(CC(C)C(C)C)=CN(CCCC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.767000198364258
[N+]1(CC(CC)CC)=CN(CCCC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.75100040435791
[N+]1(CC(C)(C)CC)=CN(CCCC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.66100025177002
[N+]1(C(C)CCCC)=CN(CCCC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.73799991607666
[N+]1(C(C)CC(C)C)=CN(CCCC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.770000457763672
[N+]1(C(C)C(C)CC)=CN(CCCC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.664999961853027
[N+]1(C(C)C(C)(C)C)=CN(CCCC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.668999671936035
[N+]1(C(CC)CCC)=CN(CCCC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.675000190734863
[N+]1(C(CC)C(C)C)=CN(CCCC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.727999687194824
[N+]1(C(C)(C)CCC)=CN(CCCC(C)C)(C=C1),"1,3-dialkylmethylimidazolium",-11.640999794006348
