Smile,Type,HOMO_ev
[N+]1(CC)=CN(CCCCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.052000045776367
[N+]1(CC)=CN(CCCCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.04800033569336
[N+]1(CC)=CN(CCCCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.029999732971191
[N+]1(CC)=CN(CCCCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.031000137329102
[N+]1(CC)=CN(CCCCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.116999626159668
[N+]1(CC)=CN(CCCCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.154999732971191
[N+]1(CC)=CN(CCCCCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.145999908447266
[N+]1(CC)=CN(CCCCCC(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.157999992370605
[N+]1(CC)=CN(CCCCC(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.253999710083008
[N+]1(CC)=CN(CCCCC(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.269000053405762
[N+]1(CC)=CN(CCCCC(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.267999649047852
[N+]1(CC)=CN(CCCCC(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.20300006866455
[N+]1(CC)=CN(CCCCC(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.258999824523926
[N+]1(CC)=CN(CCCCC(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.265000343322754
[N+]1(CC)=CN(CCCCC(C)(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.331999778747559
[N+]1(CC)=CN(CCCCC(C)(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.218000411987305
[N+]1(CC)=CN(CCCCC(C)(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.272000312805176
[N+]1(CC)=CN(CCCC(C)CCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.22700023651123
[N+]1(CC)=CN(CCCC(C)CCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.307999610900879
[N+]1(CC)=CN(CCCC(C)CC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.321000099182129
[N+]1(CC)=CN(CCCC(C)CC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.256999969482422
[N+]1(CC)=CN(CCCC(C)C(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.357000350952148
[N+]1(CC)=CN(CCCC(C)C(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.269000053405762
[N+]1(CC)=CN(CCCC(C)C(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.253000259399414
[N+]1(CC)=CN(CCCC(C)C(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.295000076293945
[N+]1(CC)=CN(CCCC(CC)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.366000175476074
[N+]1(CC)=CN(CCCC(CC)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.348999977111816
[N+]1(CC)=CN(CCCC(CC)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.378999710083008
[N+]1(CC)=CN(CCCC(CC)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.420000076293945
[N+]1(CC)=CN(CCCC(CCC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.39900016784668
[N+]1(CC)=CN(CCCC(C(C)C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.395999908447266
[N+]1(CC)=CN(CCCC(C(C)C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.416999816894531
[N+]1(CC)=CN(CCCC(C)(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.354999542236328
[N+]1(CC)=CN(CCCC(C)(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.369000434875488
[N+]1(CC)=CN(CCCC(C)(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.37600040435791
[N+]1(CC)=CN(CCCC(C)(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.33899974822998
[N+]1(CC)=CN(CCCC(C)(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.467000007629395
[N+]1(CC)=CN(CCCC(C)(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.371999740600586
[N+]1(CC)=CN(CCCC(CC)(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.420999526977539
[N+]1(CC)=CN(CCC(C)CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.159000396728516
[N+]1(CC)=CN(CCC(C)CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.340999603271484
