Smile,Type,HOMO_ev
[N+]1(CCCC)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.286999702453613
[N+]1(CC(C)C)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.4399995803833
[N+]1(C(C)CC)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.498000144958496
[N+]1(C(C)(C)C)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.503000259399414
[N+]1(CCCC)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.5649995803833
[N+]1(CC(C)C)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.739999771118164
[N+]1(C(C)CC)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.616999626159668
[N+]1(C(C)(C)C)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.651000022888184
[N+]1(CCCC)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.607999801635742
[N+]1(CC(C)C)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.663000106811523
[N+]1(C(C)CC)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.656999588012695
[N+]1(C(C)(C)C)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.619000434875488
[N+]1(CCCC)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.663000106811523
[N+]1(CC(C)C)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.76099967956543
[N+]1(C(C)CC)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.715999603271484
[N+]1(C(C)(C)C)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.72700023651123
[N+]1(CCCC)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.644000053405762
[N+]1(CC(C)C)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.76200008392334
[N+]1(C(C)CC)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.668000221252441
[N+]1(C(C)(C)C)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.619999885559082
[N+]1(CCCC)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.682999610900879
[N+]1(CC(C)C)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.743000030517578
[N+]1(C(C)CC)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.72599983215332
[N+]1(C(C)(C)C)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.684000015258789
[N+]1(CCCC)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.715999603271484
[N+]1(CC(C)C)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.779999732971191
[N+]1(C(C)CC)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.71500015258789
[N+]1(C(C)(C)C)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.621000289916992
[N+]1(CCCC)=CN(CCC(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.675000190734863
[N+]1(CC(C)C)=CN(CCC(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.678000450134277
[N+]1(C(C)CC)=CN(CCC(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.607999801635742
[N+]1(C(C)(C)C)=CN(CCC(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.642000198364258
[N+]1(CCCC)=CN(CC(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.70300006866455
[N+]1(CC(C)C)=CN(CC(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.746000289916992
[N+]1(C(C)CC)=CN(CC(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.741999626159668
[N+]1(C(C)(C)C)=CN(CC(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.654000282287598
[N+]1(CCCC)=CN(CC(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.779999732971191
[N+]1(CC(C)C)=CN(CC(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.762999534606934
[N+]1(C(C)CC)=CN(CC(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.696999549865723
[N+]1(C(C)(C)C)=CN(CC(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.710000038146973
[N+]1(CCCC)=CN(CC(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.729000091552734
[N+]1(CC(C)C)=CN(CC(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.706999778747559
[N+]1(C(C)CC)=CN(CC(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.680999755859375
[N+]1(C(C)(C)C)=CN(CC(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.670000076293945
[N+]1(CCCC)=CN(CC(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.677000045776367
[N+]1(CC(C)C)=CN(CC(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.718000411987305
[N+]1(C(C)CC)=CN(CC(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.630999565124512
[N+]1(C(C)(C)C)=CN(CC(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.633999824523926
[N+]1(CCCC)=CN(CC(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.713000297546387
[N+]1(CC(C)C)=CN(CC(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.77299976348877
[N+]1(C(C)CC)=CN(CC(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.720000267028809
[N+]1(C(C)(C)C)=CN(CC(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.670000076293945
[N+]1(CCCC)=CN(CC(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.743000030517578
[N+]1(CC(C)C)=CN(CC(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.753000259399414
[N+]1(C(C)CC)=CN(CC(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.675000190734863
[N+]1(C(C)(C)C)=CN(CC(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.729999542236328
[N+]1(CCCC)=CN(CC(C)(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.6899995803833
[N+]1(CC(C)C)=CN(CC(C)(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.713000297546387
[N+]1(C(C)CC)=CN(CC(C)(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.666999816894531
[N+]1(C(C)(C)C)=CN(CC(C)(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.659000396728516
[N+]1(CCCC)=CN(CC(C)(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.668999671936035
[N+]1(CC(C)C)=CN(CC(C)(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.675999641418457
[N+]1(C(C)CC)=CN(CC(C)(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.625
[N+]1(C(C)(C)C)=CN(CC(C)(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.630000114440918
[N+]1(CCCC)=CN(CC(C)(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.694999694824219
[N+]1(CC(C)C)=CN(CC(C)(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.704999923706055
[N+]1(C(C)CC)=CN(CC(C)(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.640000343322754
[N+]1(C(C)(C)C)=CN(CC(C)(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.687000274658203
[N+]1(CCCC)=CN(C(C)CCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.696999549865723
[N+]1(CC(C)C)=CN(C(C)CCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.687000274658203
[N+]1(C(C)CC)=CN(C(C)CCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.645999908447266
[N+]1(C(C)(C)C)=CN(C(C)CCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.569000244140625
[N+]1(CCCC)=CN(C(C)CCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.687000274658203
[N+]1(CC(C)C)=CN(C(C)CCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.753000259399414
[N+]1(C(C)CC)=CN(C(C)CCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.680999755859375
[N+]1(C(C)(C)C)=CN(C(C)CCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.6899995803833
[N+]1(CCCC)=CN(C(C)CC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.687999725341797
[N+]1(CC(C)C)=CN(C(C)CC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.715999603271484
[N+]1(C(C)CC)=CN(C(C)CC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.638999938964844
[N+]1(C(C)(C)C)=CN(C(C)CC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.668000221252441
[N+]1(CCCC)=CN(C(C)CC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.75100040435791
[N+]1(CC(C)C)=CN(C(C)CC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.663000106811523
[N+]1(C(C)CC)=CN(C(C)CC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.661999702453613
[N+]1(C(C)(C)C)=CN(C(C)CC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.652000427246094
[N+]1(CCCC)=CN(C(C)C(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.71399974822998
[N+]1(CC(C)C)=CN(C(C)C(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.73799991607666
[N+]1(C(C)CC)=CN(C(C)C(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.616000175476074
[N+]1(C(C)(C)C)=CN(C(C)C(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.656000137329102
[N+]1(CCCC)=CN(C(C)C(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.706000328063965
[N+]1(CC(C)C)=CN(C(C)C(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.684000015258789
[N+]1(C(C)CC)=CN(C(C)C(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.592000007629395
[N+]1(C(C)(C)C)=CN(C(C)C(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.621000289916992
[N+]1(CCCC)=CN(C(C)C(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.718999862670898
[N+]1(CC(C)C)=CN(C(C)C(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.657999992370605
[N+]1(C(C)CC)=CN(C(C)C(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.60099983215332
[N+]1(C(C)(C)C)=CN(C(C)C(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.621999740600586
[N+]1(CCCC)=CN(C(C)C(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.664999961853027
