Smile,Type,HOMO_ev
[N+]1(CC)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.104000091552734
[N+]1(CC)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.449999809265137
[N+]1(CC)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.543999671936035
[N+]1(CC)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.722000122070312
[N+]1(CC)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.758999824523926
[N+]1(CC)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.755999565124512
[N+]1(CC)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.8100004196167
[N+]1(CC)=CN(CCC(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.711000442504883
[N+]1(CC)=CN(CC(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.734999656677246
[N+]1(CC)=CN(CC(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.786999702453613
[N+]1(CC)=CN(CC(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.791000366210938
[N+]1(CC)=CN(CC(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.79699993133545
[N+]1(CC)=CN(CC(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.845000267028809
[N+]1(CC)=CN(CC(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.899999618530273
[N+]1(CC)=CN(CC(C)(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.868000030517578
[N+]1(CC)=CN(CC(C)(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.819000244140625
[N+]1(CC)=CN(CC(C)(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.82800006866455
[N+]1(CC)=CN(C(C)CCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.618000030517578
[N+]1(CC)=CN(C(C)CCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.836999893188477
[N+]1(CC)=CN(C(C)CC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.869999885559082
[N+]1(CC)=CN(C(C)CC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.854000091552734
[N+]1(CC)=CN(C(C)C(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.798999786376953
[N+]1(CC)=CN(C(C)C(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.833000183105469
[N+]1(CC)=CN(C(C)C(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.83899974822998
[N+]1(CC)=CN(C(C)C(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.800999641418457
[N+]1(CC)=CN(C(CC)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.845000267028809
[N+]1(CC)=CN(C(CC)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.862000465393066
[N+]1(CC)=CN(C(CC)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.809000015258789
[N+]1(CC)=CN(C(CC)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.819000244140625
[N+]1(CC)=CN(C(CCC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.862000465393066
[N+]1(CC)=CN(C(C(C)C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.843000411987305
[N+]1(CC)=CN(C(C(C)C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.821999549865723
[N+]1(CC)=CN(C(C)(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.774999618530273
[N+]1(CC)=CN(C(C)(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.793000221252441
[N+]1(CC)=CN(C(C)(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.75
[N+]1(CC)=CN(C(C)(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.744999885559082
[N+]1(CC)=CN(C(C)(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.73900032043457
[N+]1(CC)=CN(C(C)(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.74899959564209
[N+]1(CC)=CN(C(CC)(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.727999687194824
