Smile,Type,HOMO_ev
[N+]1(C)=CN(CCCCCCCCC)(C=C1),1-methyl-3-alkylimidazolium,-10.689000129699707
[N+]1(C)=CN(CCCCCCC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.79699993133545
[N+]1(C)=CN(CCCCCC(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-10.723999977111816
[N+]1(C)=CN(CCCCCC(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.96399974822998
[N+]1(C)=CN(CCCCC(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-10.918999671936035
[N+]1(C)=CN(CCCCC(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.795999526977539
[N+]1(C)=CN(CCCCC(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-10.822999954223633
[N+]1(C)=CN(CCCCC(C)(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-10.930000305175781
[N+]1(C)=CN(CCCC(C)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-10.942000389099121
[N+]1(C)=CN(CCCC(C)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.963000297546387
[N+]1(C)=CN(CCCC(C)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-10.935999870300293
[N+]1(C)=CN(CCCC(C)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.99899959564209
[N+]1(C)=CN(CCCC(CC)CCC)(C=C1),1-methyl-3-alkylimidazolium,-10.970000267028809
[N+]1(C)=CN(CCCC(CC)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.97599983215332
[N+]1(C)=CN(CCCC(C)(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-11.041000366210938
[N+]1(C)=CN(CCCC(C)(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.979999542236328
[N+]1(C)=CN(CCCC(C)(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-11.090999603271484
[N+]1(C)=CN(CCC(C)CCCCC)(C=C1),1-methyl-3-alkylimidazolium,-11.01099967956543
