Smile,Type,HOMO_ev
[N+]1(CC)=CN(CCCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-10.833000183105469
[N+]1(CC)=CN(CCCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-10.913999557495117
[N+]1(CC)=CN(CCCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-10.9350004196167
[N+]1(CC)=CN(CCCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.04699993133545
[N+]1(CC)=CN(CCCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.076000213623047
[N+]1(CC)=CN(CCCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.005999565124512
[N+]1(CC)=CN(CCCCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.072999954223633
[N+]1(CC)=CN(CCCCC(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.138999938964844
[N+]1(CC)=CN(CCCC(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.184000015258789
[N+]1(CC)=CN(CCCC(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.232000350952148
[N+]1(CC)=CN(CCCC(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.225000381469727
[N+]1(CC)=CN(CCCC(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.293000221252441
[N+]1(CC)=CN(CCCC(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.312999725341797
[N+]1(CC)=CN(CCCC(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.282999992370605
[N+]1(CC)=CN(CCCC(C)(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.258000373840332
[N+]1(CC)=CN(CCCC(C)(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.329000473022461
[N+]1(CC)=CN(CCCC(C)(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.4399995803833
[N+]1(CC)=CN(CCC(C)CCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.175000190734863
[N+]1(CC)=CN(CCC(C)CCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.371000289916992
[N+]1(CC)=CN(CCC(C)CC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.361000061035156
[N+]1(CC)=CN(CCC(C)CC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.395999908447266
[N+]1(CC)=CN(CCC(C)C(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.432000160217285
[N+]1(CC)=CN(CCC(C)C(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.461999893188477
[N+]1(CC)=CN(CCC(C)C(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.491000175476074
[N+]1(CC)=CN(CCC(C)C(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.42199993133545
[N+]1(CC)=CN(CCC(CC)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.482999801635742
[N+]1(CC)=CN(CCC(CC)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.571000099182129
[N+]1(CC)=CN(CCC(CC)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.486000061035156
[N+]1(CC)=CN(CCC(CC)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.48799991607666
[N+]1(CC)=CN(CCC(CCC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.604000091552734
[N+]1(CC)=CN(CCC(C(C)C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.526000022888184
[N+]1(CC)=CN(CCC(C(C)C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.569999694824219
[N+]1(CC)=CN(CCC(C)(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.484000205993652
[N+]1(CC)=CN(CCC(C)(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.449999809265137
[N+]1(CC)=CN(CCC(C)(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.4399995803833
[N+]1(CC)=CN(CCC(C)(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.479999542236328
[N+]1(CC)=CN(CCC(C)(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.519000053405762
[N+]1(CC)=CN(CCC(C)(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.550999641418457
[N+]1(CC)=CN(CCC(CC)(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.524999618530273
[N+]1(CC)=CN(CC(C)CCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.09000015258789
[N+]1(CC)=CN(CC(C)CCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.305000305175781
[N+]1(CC)=CN(CC(C)CCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.401000022888184
[N+]1(CC)=CN(CC(C)CCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.449999809265137
[N+]1(CC)=CN(CC(C)CC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.484999656677246
[N+]1(CC)=CN(CC(C)CC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.437000274658203
[N+]1(CC)=CN(CC(C)CC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.461999893188477
[N+]1(CC)=CN(CC(C)CC(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.48900032043457
[N+]1(CC)=CN(CC(C)C(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.515000343322754
[N+]1(CC)=CN(CC(C)C(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.526000022888184
[N+]1(CC)=CN(CC(C)C(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.571000099182129
[N+]1(CC)=CN(CC(C)C(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.571000099182129
[N+]1(CC)=CN(CC(C)C(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.61299991607666
[N+]1(CC)=CN(CC(C)C(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.569999694824219
[N+]1(CC)=CN(CC(C)C(C)(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.564000129699707
[N+]1(CC)=CN(CC(C)C(C)(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.543000221252441
[N+]1(CC)=CN(CC(C)C(C)(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.571999549865723
[N+]1(CC)=CN(CC(CC)CCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.503999710083008
[N+]1(CC)=CN(CC(CC)CCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.550999641418457
[N+]1(CC)=CN(CC(CC)CC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.592000007629395
[N+]1(CC)=CN(CC(CC)CC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.628999710083008
[N+]1(CC)=CN(CC(CC)C(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.715999603271484
[N+]1(CC)=CN(CC(CC)C(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.654999732971191
