Smile,Type,HOMO_ev
[N+]1(C)=CN(CCCCCCC)(C=C1),1-methyl-3-alkylimidazolium,-11.123000144958496
[N+]1(C)=CN(CCCCC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.28499984741211
[N+]1(C)=CN(CCCC(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-11.383000373840332
[N+]1(C)=CN(CCCC(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.666000366210938
[N+]1(C)=CN(CCC(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-11.562999725341797
[N+]1(C)=CN(CCC(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.82699966430664
[N+]1(C)=CN(CCC(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-11.800999641418457
[N+]1(C)=CN(CCC(C)(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-11.751999855041504
[N+]1(C)=CN(CC(C)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-11.600000381469727
[N+]1(C)=CN(CC(C)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.831999778747559
[N+]1(C)=CN(CC(C)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-11.836999893188477
[N+]1(C)=CN(CC(C)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.87399959564209
[N+]1(C)=CN(CC(CC)CCC)(C=C1),1-methyl-3-alkylimidazolium,-11.878999710083008
[N+]1(C)=CN(CC(CC)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.991999626159668
[N+]1(C)=CN(CC(C)(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-11.892000198364258
[N+]1(C)=CN(CC(C)(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.918999671936035
[N+]1(C)=CN(CC(C)(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-11.942000389099121
[N+]1(C)=CN(C(C)CCCCC)(C=C1),1-methyl-3-alkylimidazolium,-11.62600040435791
[N+]1(C)=CN(C(C)CCC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.881999969482422
[N+]1(C)=CN(C(C)CC(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-11.935999870300293
[N+]1(C)=CN(C(C)CC(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.967000007629395
[N+]1(C)=CN(C(C)C(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-11.907999992370605
[N+]1(C)=CN(C(C)C(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.956000328063965
[N+]1(C)=CN(C(C)C(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-11.935999870300293
[N+]1(C)=CN(C(C)C(C)(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-11.90999984741211
[N+]1(C)=CN(C(CC)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-11.947999954223633
[N+]1(C)=CN(C(CC)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.968999862670898
[N+]1(C)=CN(C(CC)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-11.909000396728516
[N+]1(C)=CN(C(CC)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.920999526977539
[N+]1(C)=CN(C(CCC)CCC)(C=C1),1-methyl-3-alkylimidazolium,-11.965999603271484
[N+]1(C)=CN(C(C(C)C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-11.9399995803833
[N+]1(C)=CN(C(C(C)C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.928000450134277
[N+]1(C)=CN(C(C)(C)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-11.831000328063965
[N+]1(C)=CN(C(C)(C)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.907999992370605
[N+]1(C)=CN(C(C)(C)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-11.883000373840332
[N+]1(C)=CN(C(C)(C)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.864999771118164
[N+]1(C)=CN(C(C)(CC)CCC)(C=C1),1-methyl-3-alkylimidazolium,-11.843999862670898
[N+]1(C)=CN(C(C)(CC)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.85099983215332
[N+]1(C)=CN(C(CC)(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-11.82699966430664
