Smile,Type,HOMO_ev
[N+]1(CCC)=CN(CCCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.428000450134277
[N+]1(C(C)C)=CN(CCCCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.380000114440918
[N+]1(CCC)=CN(CCCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.312000274658203
[N+]1(C(C)C)=CN(CCCCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.418000221252441
[N+]1(CCC)=CN(CCCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.472000122070312
[N+]1(C(C)C)=CN(CCCCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.427000045776367
[N+]1(CCC)=CN(CCCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.420000076293945
[N+]1(C(C)C)=CN(CCCCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.489999771118164
[N+]1(CCC)=CN(CCCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.5600004196167
[N+]1(C(C)C)=CN(CCCCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.543999671936035
[N+]1(CCC)=CN(CCCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.583000183105469
[N+]1(C(C)C)=CN(CCCCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.564000129699707
[N+]1(CCC)=CN(CCCCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.597000122070312
[N+]1(C(C)C)=CN(CCCCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.611000061035156
[N+]1(CCC)=CN(CCCCC(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.611000061035156
[N+]1(C(C)C)=CN(CCCCC(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.64799976348877
[N+]1(CCC)=CN(CCCC(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.586000442504883
[N+]1(C(C)C)=CN(CCCC(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.638999938964844
[N+]1(CCC)=CN(CCCC(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.633000373840332
[N+]1(C(C)C)=CN(CCCC(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.696999549865723
[N+]1(CCC)=CN(CCCC(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.607999801635742
[N+]1(C(C)C)=CN(CCCC(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.70199966430664
[N+]1(CCC)=CN(CCCC(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.567999839782715
[N+]1(C(C)C)=CN(CCCC(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.593000411987305
[N+]1(CCC)=CN(CCCC(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.677000045776367
[N+]1(C(C)C)=CN(CCCC(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.666999816894531
