Smile,Type,HOMO_ev
[N+]1(CCCCCC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.590999603271484
[N+]1(CCCC(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.802000045776367
[N+]1(CCC(C)CC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.704999923706055
[N+]1(CCC(C)(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.855999946594238
[N+]1(CC(C)CCC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.809000015258789
[N+]1(CC(C)C(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.833000183105469
[N+]1(CC(CC)CC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.857000350952148
[N+]1(CC(C)(C)CC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.772000312805176
[N+]1(C(C)CCCC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.777999877929688
[N+]1(C(C)CC(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.79800033569336
[N+]1(C(C)C(C)CC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.743000030517578
[N+]1(C(C)C(C)(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.732999801635742
[N+]1(C(CC)CCC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.803000450134277
[N+]1(C(CC)C(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.795000076293945
[N+]1(C(C)(C)CCC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.708000183105469
[N+]1(C(C)(C)C(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.711999893188477
[N+]1(C(C)(CC)CC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.710000038146973
[N+]1(CCCCCC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.637999534606934
[N+]1(CCCC(C)C)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.805000305175781
[N+]1(CCC(C)CC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.847000122070312
[N+]1(CCC(C)(C)C)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.857999801635742
[N+]1(CC(C)CCC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.805000305175781
[N+]1(CC(C)C(C)C)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.810999870300293
[N+]1(CC(CC)CC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.829999923706055
[N+]1(CC(C)(C)CC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.765000343322754
[N+]1(C(C)CCCC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.762999534606934
[N+]1(C(C)CC(C)C)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.770000457763672
[N+]1(C(C)C(C)CC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.746000289916992
[N+]1(C(C)C(C)(C)C)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.729000091552734
[N+]1(C(CC)CCC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.824000358581543
[N+]1(C(CC)C(C)C)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.769000053405762
[N+]1(C(C)(C)CCC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.704000473022461
[N+]1(C(C)(C)C(C)C)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.704999923706055
[N+]1(C(C)(CC)CC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.708999633789062
[N+]1(CCCCCC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.642999649047852
[N+]1(CCCC(C)C)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.782999992370605
[N+]1(CCC(C)CC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.791000366210938
[N+]1(CCC(C)(C)C)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.79699993133545
[N+]1(CC(C)CCC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.781000137329102
[N+]1(CC(C)C(C)C)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.753999710083008
[N+]1(CC(CC)CC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.788999557495117
[N+]1(CC(C)(C)CC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.71500015258789
[N+]1(C(C)CCCC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.718000411987305
[N+]1(C(C)CC(C)C)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.734000205993652
[N+]1(C(C)C(C)CC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.666000366210938
[N+]1(C(C)C(C)(C)C)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.668999671936035
[N+]1(C(CC)CCC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.737000465393066
[N+]1(C(CC)C(C)C)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.711000442504883
[N+]1(C(C)(C)CCC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.663000106811523
[N+]1(C(C)(C)C(C)C)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.637999534606934
