Smile,Type,HOMO_ev
[N+]1(CCC)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.357999801635742
[N+]1(C(C)C)=CN(CCCCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.428000450134277
[N+]1(CCC)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.663000106811523
[N+]1(C(C)C)=CN(CCCCC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.678000450134277
[N+]1(CCC)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.586000442504883
[N+]1(C(C)C)=CN(CCCC(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.654000282287598
[N+]1(CCC)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.687999725341797
[N+]1(C(C)C)=CN(CCCC(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.781000137329102
[N+]1(CCC)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.741000175476074
[N+]1(C(C)C)=CN(CCC(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.699000358581543
[N+]1(CCC)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.704000473022461
[N+]1(C(C)C)=CN(CCC(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.751999855041504
[N+]1(CCC)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.793999671936035
[N+]1(C(C)C)=CN(CCC(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.760000228881836
[N+]1(CCC)=CN(CCC(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.704000473022461
[N+]1(C(C)C)=CN(CCC(C)(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.70199966430664
[N+]1(CCC)=CN(CC(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.753999710083008
[N+]1(C(C)C)=CN(CC(C)CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.722000122070312
[N+]1(CCC)=CN(CC(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.831000328063965
[N+]1(C(C)C)=CN(CC(C)CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.77400016784668
[N+]1(CCC)=CN(CC(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.821000099182129
[N+]1(C(C)C)=CN(CC(C)C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.71399974822998
[N+]1(CCC)=CN(CC(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.765999794006348
[N+]1(C(C)C)=CN(CC(C)C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.692000389099121
[N+]1(CCC)=CN(CC(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.821999549865723
[N+]1(C(C)C)=CN(CC(CC)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.795999526977539
[N+]1(CCC)=CN(CC(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.838000297546387
[N+]1(C(C)C)=CN(CC(CC)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.772000312805176
[N+]1(CCC)=CN(CC(C)(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.767000198364258
[N+]1(C(C)C)=CN(CC(C)(C)CCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.72700023651123
[N+]1(CCC)=CN(CC(C)(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.722000122070312
[N+]1(C(C)C)=CN(CC(C)(C)C(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.675999641418457
[N+]1(CCC)=CN(CC(C)(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.739999771118164
[N+]1(C(C)C)=CN(CC(C)(CC)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.720999717712402
[N+]1(CCC)=CN(C(C)CCCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.746999740600586
