Smile,Type,HOMO_ev
[N+]1(CCCCC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.836000442504883
[N+]1(CCC(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.887999534606934
[N+]1(CC(C)CC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.857999801635742
[N+]1(CC(C)(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.85099983215332
[N+]1(C(C)CCC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.833000183105469
[N+]1(C(C)C(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.8149995803833
[N+]1(C(CC)CC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.847999572753906
[N+]1(C(C)(C)CC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.776000022888184
[N+]1(CCCCC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.878999710083008
[N+]1(CCC(C)C)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.866000175476074
[N+]1(CC(C)CC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.869999885559082
[N+]1(CC(C)(C)C)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.821999549865723
[N+]1(C(C)CCC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.836999893188477
[N+]1(C(C)C(C)C)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.788999557495117
[N+]1(C(CC)CC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.838000297546387
[N+]1(C(C)(C)CC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.77400016784668
[N+]1(CCCCC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.809000015258789
[N+]1(CCC(C)C)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.862000465393066
[N+]1(CC(C)CC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.802000045776367
[N+]1(CC(C)(C)C)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.781999588012695
[N+]1(C(C)CCC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.767999649047852
[N+]1(C(C)C(C)C)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.73900032043457
[N+]1(C(CC)CC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.737000465393066
[N+]1(C(C)(C)CC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.675999641418457
[N+]1(CCCCC)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.770000457763672
[N+]1(CCC(C)C)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.795999526977539
[N+]1(CC(C)CC)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.779999732971191
[N+]1(CC(C)(C)C)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.788999557495117
[N+]1(C(C)CCC)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.739999771118164
[N+]1(C(C)C(C)C)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.715999603271484
[N+]1(C(CC)CC)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.718000411987305
[N+]1(C(C)(C)CC)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.647000312805176
