Smile,Type,HOMO_ev
[N+]1(CCC)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.972999572753906
[N+]1(C(C)C)=CN(CCCC)(C=C1),1-alkyl-3-alkylimidazolium,-11.91100025177002
[N+]1(CCC)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.968000411987305
[N+]1(C(C)C)=CN(CC(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.904000282287598
[N+]1(CCC)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.909000396728516
[N+]1(C(C)C)=CN(C(C)CC)(C=C1),1-alkyl-3-alkylimidazolium,-11.845999717712402
[N+]1(CCC)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.869999885559082
[N+]1(C(C)C)=CN(C(C)(C)C)(C=C1),1-alkyl-3-alkylimidazolium,-11.809000015258789
