Isomer,Smile,Energy,HOMO(H),LUMO(H)
Isomer148,[N+]1(CCCC)=CN(C(C)(CC)C(C)C)(C=C1),-658.713284446,-0.42773,-0.17194
Isomer149,[N+]1(CC(C)C)=CN(C(C)(CC)C(C)C)(C=C1),-658.716160078,-0.42722,-0.16874
Isomer14,[N+]1(C(C)CC)=CN(CCCC(C)(C)C)(C=C1),-658.713028692,-0.42587,-0.1768
Isomer150,[N+]1(C(C)CC)=CN(C(C)(CC)C(C)C)(C=C1),-658.718773656,-0.42568,-0.16746
Isomer151,[N+]1(C(C)(C)C)=CN(C(C)(CC)C(C)C)(C=C1),-658.721739364,-0.42518,-0.16281
Isomer152,[N+]1(CCCC)=CN(C(CC)(CC)CC)(C=C1),-658.714395371,-0.42783,-0.17163
Isomer153,[N+]1(CC(C)C)=CN(C(CC)(CC)CC)(C=C1),-658.717158896,-0.42718,-0.17136
Isomer154,[N+]1(C(C)CC)=CN(C(CC)(CC)CC)(C=C1),-658.719027875,-0.42457,-0.17056
Isomer155,[N+]1(C(C)(C)C)=CN(C(CC)(CC)CC)(C=C1),-658.722392217,-0.42367,-0.16596
Isomer15,[N+]1(C(C)(C)C)=CN(CCCC(C)(C)C)(C=C1),-658.717122029,-0.42466,-0.17176
Isomer16,[N+]1(CCCC)=CN(CCC(C)CCC)(C=C1),-658.704638275,-0.42988,-0.18215
Isomer17,[N+]1(CC(C)C)=CN(CCC(C)CCC)(C=C1),-658.709733741,-0.43184,-0.17947
Isomer18,[N+]1(C(C)CC)=CN(CCC(C)CCC)(C=C1),-658.710434842,-0.43142,-0.17872
Isomer19,[N+]1(C(C)(C)C)=CN(CCC(C)CCC)(C=C1),-658.714557443,-0.43122,-0.17416
Isomer1,[N+]1(CC(C)C)=CN(CCCCCCC)(C=C1),-658.70710747,-0.41737,-0.18066
Isomer20,[N+]1(CCCC)=CN(CCC(C)C(C)C)(C=C1),-658.705149626,-0.43141,-0.18184
Isomer21,[N+]1(CC(C)C)=CN(CCC(C)C(C)C)(C=C1),-658.709828264,-0.43276,-0.17951
Isomer22,[N+]1(C(C)CC)=CN(CCC(C)C(C)C)(C=C1),-658.711253946,-0.43263,-0.17812
Isomer23,[N+]1(C(C)(C)C)=CN(CCC(C)C(C)C)(C=C1),-658.715354804,-0.43166,-0.17359
Isomer24,[N+]1(CCCC)=CN(CCC(CC)CC)(C=C1),-658.704532389,-0.43182,-0.18169
Isomer25,[N+]1(CC(C)C)=CN(CCC(CC)CC)(C=C1),-658.709238321,-0.43238,-0.17869
Isomer26,[N+]1(C(C)CC)=CN(CCC(CC)CC)(C=C1),-658.710123819,-0.43102,-0.17805
Isomer27,[N+]1(C(C)(C)C)=CN(CCC(CC)CC)(C=C1),-658.714186614,-0.43047,-0.17368
Isomer28,[N+]1(CCCC)=CN(CCC(C)(C)CC)(C=C1),-658.705073252,-0.42928,-0.17714
Isomer29,[N+]1(CC(C)C)=CN(CCC(C)(C)CC)(C=C1),-658.707972376,-0.42917,-0.17759
Isomer2,[N+]1(C(C)CC)=CN(CCCCCCC)(C=C1),-658.70823383,-0.4126,-0.17912
Isomer30,[N+]1(C(C)CC)=CN(CCC(C)(C)CC)(C=C1),-658.71057751,-0.42865,-0.17391
Isomer31,[N+]1(C(C)(C)C)=CN(CCC(C)(C)CC)(C=C1),-658.714608878,-0.42783,-0.16926
Isomer32,[N+]1(CCCC)=CN(CC(C)CCCC)(C=C1),-658.705221951,-0.42486,-0.18104
Isomer33,[N+]1(CC(C)C)=CN(CC(C)CCCC)(C=C1),-658.709424111,-0.42473,-0.17848
Isomer34,[N+]1(C(C)CC)=CN(CC(C)CCCC)(C=C1),-658.710783729,-0.4243,-0.17769
Isomer35,[N+]1(C(C)(C)C)=CN(CC(C)CCCC)(C=C1),-658.714764684,-0.42378,-0.17317
Isomer36,[N+]1(CCCC)=CN(CC(C)CC(C)C)(C=C1),-658.707789732,-0.43163,-0.18095
Isomer37,[N+]1(CC(C)C)=CN(CC(C)CC(C)C)(C=C1),-658.711984176,-0.43116,-0.17896
Isomer38,[N+]1(C(C)CC)=CN(CC(C)CC(C)C)(C=C1),-658.713455516,-0.43029,-0.17739
Isomer39,[N+]1(C(C)(C)C)=CN(CC(C)CC(C)C)(C=C1),-658.717362314,-0.42907,-0.17299
Isomer3,[N+]1(C(C)(C)C)=CN(CCCCCCC)(C=C1),-658.71145079,-0.40616,-0.17254
Isomer40,[N+]1(CCCC)=CN(CC(C)C(C)CC)(C=C1),-658.706965667,-0.43245,-0.17807
Isomer41,[N+]1(CC(C)C)=CN(CC(C)C(C)CC)(C=C1),-658.709794625,-0.43039,-0.17837
Isomer42,[N+]1(C(C)CC)=CN(CC(C)C(C)CC)(C=C1),-658.712580865,-0.43093,-0.17414
Isomer43,[N+]1(C(C)(C)C)=CN(CC(C)C(C)CC)(C=C1),-658.715995712,-0.43002,-0.16941
Isomer44,[N+]1(CCCC)=CN(CC(C)C(C)(C)C)(C=C1),-658.709417216,-0.43414,-0.17799
Isomer45,[N+]1(CC(C)C)=CN(CC(C)C(C)(C)C)(C=C1),-658.712274319,-0.43022,-0.17838
Isomer46,[N+]1(C(C)CC)=CN(CC(C)C(C)(C)C)(C=C1),-658.715028717,-0.43241,-0.17394
Isomer47,[N+]1(C(C)(C)C)=CN(CC(C)C(C)(C)C)(C=C1),-658.717474796,-0.42751,-0.17249
Isomer48,[N+]1(CCCC)=CN(CC(CC)CCC)(C=C1),-658.706146448,-0.43373,-0.17853
Isomer49,[N+]1(CC(C)C)=CN(CC(CC)CCC)(C=C1),-658.709040566,-0.43359,-0.17808
Isomer4,[N+]1(CCCC)=CN(CCCCC(C)C)(C=C1),-658.704520426,-0.41918,-0.18273
Isomer50,[N+]1(C(C)CC)=CN(CC(CC)CCC)(C=C1),-658.711803348,-0.43216,-0.1742
Isomer51,[N+]1(C(C)(C)C)=CN(CC(CC)CCC)(C=C1),-658.714840196,-0.43044,-0.16969
Isomer52,[N+]1(CCCC)=CN(CC(CC)C(C)C)(C=C1),-658.707306638,-0.43452,-0.17805
Isomer53,[N+]1(CC(C)C)=CN(CC(CC)C(C)C)(C=C1),-658.71012228,-0.43379,-0.17778
Isomer54,[N+]1(C(C)CC)=CN(CC(CC)C(C)C)(C=C1),-658.712988191,-0.43233,-0.17384
Isomer55,[N+]1(C(C)(C)C)=CN(CC(CC)C(C)C)(C=C1),-658.715941565,-0.43116,-0.16949
Isomer56,[N+]1(CCCC)=CN(CC(C)(C)CCC)(C=C1),-658.709033453,-0.43093,-0.17892
Isomer57,[N+]1(CC(C)C)=CN(CC(C)(C)CCC)(C=C1),-658.71297183,-0.42981,-0.17675
Isomer58,[N+]1(C(C)CC)=CN(CC(C)(C)CCC)(C=C1),-658.716141895,-0.42933,-0.17436
Isomer59,[N+]1(C(C)(C)C)=CN(CC(C)(C)CCC)(C=C1),-658.718862233,-0.42959,-0.17017
Isomer5,[N+]1(CC(C)C)=CN(CCCCC(C)C)(C=C1),-658.70906801,-0.42205,-0.18025
Isomer60,[N+]1(CCCC)=CN(CC(C)(C)C(C)C)(C=C1),-658.708279336,-0.43205,-0.17635
Isomer61,[N+]1(CC(C)C)=CN(CC(C)(C)C(C)C)(C=C1),-658.711935841,-0.4307,-0.17783
Isomer62,[N+]1(C(C)CC)=CN(CC(C)(C)C(C)C)(C=C1),-658.714570809,-0.42879,-0.17469
Isomer63,[N+]1(C(C)(C)C)=CN(CC(C)(C)C(C)C)(C=C1),-658.718728747,-0.42831,-0.17028
Isomer64,[N+]1(CCCC)=CN(CC(C)(CC)CC)(C=C1),-658.710894525,-0.43308,-0.17545
Isomer65,[N+]1(CC(C)C)=CN(CC(C)(CC)CC)(C=C1),-658.71198208,-0.43117,-0.17743
Isomer66,[N+]1(C(C)CC)=CN(CC(C)(CC)CC)(C=C1),-658.714858752,-0.42936,-0.17435
Isomer67,[N+]1(C(C)(C)C)=CN(CC(C)(CC)CC)(C=C1),-658.718745011,-0.42857,-0.16978
Isomer68,[N+]1(CCCC)=CN(C(C)CCCCC)(C=C1),-658.708480318,-0.42483,-0.17835
Isomer69,[N+]1(CC(C)C)=CN(C(C)CCCCC)(C=C1),-658.713331999,-0.42991,-0.17597
Isomer6,[N+]1(C(C)CC)=CN(CCCCC(C)C)(C=C1),-658.710172228,-0.41957,-0.17927
Isomer70,[N+]1(C(C)CC)=CN(C(C)CCCCC)(C=C1),-658.714010891,-0.42451,-0.17443
Isomer71,[N+]1(C(C)(C)C)=CN(C(C)CCCCC)(C=C1),-658.717843549,-0.42392,-0.17006
Isomer72,[N+]1(CCCC)=CN(C(C)CCC(C)C)(C=C1),-658.710778864,-0.43134,-0.17803
Isomer73,[N+]1(CC(C)C)=CN(C(C)CCC(C)C)(C=C1),-658.715882898,-0.43081,-0.17554
Isomer74,[N+]1(C(C)CC)=CN(C(C)CCC(C)C)(C=C1),-658.716365,-0.43012,-0.17412
Isomer75,[N+]1(C(C)(C)C)=CN(C(C)CCC(C)C)(C=C1),-658.720435527,-0.42896,-0.16941
